date,value__abs_energy_lme_price_3features_4_weeks,value__abs_energy_peru_producer_price_index_12_weeks,value__absolute_maximum_sp_metals_price_4_weeks,"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)_peru_consumer_price_index_4_weeks","value__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)_peru_consumer_price_index_9_weeks","value__fft_coefficient__attr_""real""__coeff_0_lme_price_3features_2_weeks",value__maximum_lme_price_3features_12_weeks,value__maximum_lme_price_smooth_4_weeks,value__median_peru_producer_price_index_4_weeks,value__minimum_lme_price_3features_9_weeks,value__minimum_log10_hongqiao_volume_12_weeks,value__quantile__q_0.1_hongqiao_price_12_weeks,value__quantile__q_0.3_bloomberg_metals_price_9_weeks,value__quantile__q_0.4_lme_price_smooth_2_weeks,value__quantile__q_0.4_sp_metals_price_12_weeks,value__quantile__q_0.6_mosexchange_price_12_weeks,value__quantile__q_0.6_norsk_hydro_price_9_weeks,value__quantile__q_0.6_peru_producer_price_index_9_weeks,value__quantile__q_0.8_sp_metals_price_12_weeks,value__quantile__q_0.9_export_china_value_12_weeks,value__root_mean_square_lme_price_3features_9_weeks,lme_price_smooth
2023-03-12,5691291.841836736,18162.952900000004,2933.7428571428572,21.081254264439753,42.162508528879506,2385.6428571428573,2385.6428571428573,2333.700680272109,134.77,2385.6428571428573,7.170814745941955,8.692857142857143,161.87857142857143,2333.700680272109,2933.7428571428572,6526.581428571429,79.02285771428572,134.77,2933.7428571428572,3176244.0,2385.6428571428573,2316.993197278912
2023-03-19,11101235.56122449,36325.90580000001,2933.7428571428572,21.061495734606932,41.53269991889997,4711.571428571429,2385.6428571428573,2333.700680272109,134.77,2325.9285714285716,7.170814745941955,8.505142857142857,159.12457142857144,2323.6761904761906,2837.691428571429,6572.076428571429,78.50400005714286,134.77,2901.7257142857143,3176244.0,2355.97491086222,2250.887755102041
2023-03-26,16347625.81122449,54488.85870000001,2933.7428571428572,42.083536126019915,81.83703805524024,4616.428571428572,2385.6428571428573,2333.700680272109,134.77,2290.5,7.170814745941955,8.127714285714285,156.5951428571429,2277.3299319727894,2734.0514285714285,6608.041142857142,77.98514240000002,134.77,2869.7085714285713,3176244.0,2334.35400137629,2243.1462585034014
2023-04-02,21658346.06122449,72651.81160000002,2933.7428571428572,41.96529325955455,78.2122992219516,4595.0,2385.6428571428573,2333.700680272109,134.77,2290.5,7.170814745941955,7.932571428571428,156.3097142857143,2246.2428571428572,2616.502857142857,6624.945285714286,76.76571380000001,134.77,2837.691428571429,3176244.0,2326.926409516666,2304.4013605442174
2023-04-09,21645402.795918368,90814.76450000002,2773.657142857143,41.96529325955455,114.53059475048693,4687.428571428572,2385.6428571428573,2316.993197278912,134.77,2290.5,7.170814745941955,7.586285714285714,156.79114285714286,2267.648299319728,2641.02,6668.768571428572,77.07428568571429,134.77,2805.674285714286,3176244.0,2338.2341472895782,2337.9251700680275
2023-04-16,21792255.015306123,109190.11617551022,2683.557142857143,41.96529325955455,106.11851160840116,4740.214285714286,2385.6428571428573,2337.9251700680275,134.77,2290.5,7.170814745941955,7.369857142857143,155.92035714285714,2317.8108843537416,2658.078571428571,6726.051428571429,77.07809576190478,134.77,2773.657142857143,3176244.0,2341.4201736172363,2294.7721088435374
2023-04-23,22059304.19897959,127650.77307551022,2687.442857142857,41.96529325955455,137.06953069451683,4705.357142857143,2385.6428571428573,2337.9251700680275,135.16285714285715,2290.5,7.170814745941955,7.373028571428571,156.26985714285715,2312.0333333333333,2668.27,6775.259142857143,77.46666644761906,134.77,2756.4142857142856,3176244.0,2342.3715092128346,2366.4557823129253
2023-04-30,22508583.948979594,146111.42997551023,2687.442857142857,42.00924920125506,122.94891286070104,4748.071428571428,2400.0,2366.4557823129253,135.71285714285716,2290.5,7.170814745941955,7.3762,156.5904285714286,2323.4455782312925,2654.365714285714,6826.635428571429,77.98514240000002,134.92714285714285,2739.171428571429,3176244.0,2349.6523681760905,2354.2414965986395
2023-05-07,22326748.159438778,164572.08687551023,2687.442857142857,42.07111912317822,148.0913860833054,4744.464285714286,2400.0,2366.4557823129253,135.87,2290.5,7.07794658782886,7.379371428571428,155.80385714285714,2359.1272108843536,2643.2271428571426,6882.348857142857,78.66457022857143,135.39857142857144,2721.9285714285716,3176244.0,2349.07648040657,2330.4285714285716
2023-05-14,22165949.36862245,182897.12377551023,2687.442857142857,42.088834141275406,148.11456254357884,4667.392857142857,2400.0,2366.4557823129253,135.87,2290.5,6.846754678710391,7.382542857142857,154.87800000000001,2339.953741496599,2614.5942857142854,6915.163714285714,77.59619000952382,135.51857142857142,2704.6857142857143,3176244.0,2342.08236175788,2287.0867346938776
2023-05-21,21815305.395408165,201168.05267551023,2639.5142857142855,42.088834141275406,148.17122739435987,4595.107142857143,2400.0,2366.4557823129253,135.62,2272.1785714285716,6.846754678710391,7.354,153.93628571428573,2304.423469387755,2577.214285714286,6936.529285714286,76.9904766952381,135.51857142857142,2687.442857142857,3176244.0,2336.212505659243,2260.5374149659865
2023-05-28,21243287.762755103,219438.98157551023,2528.3571428571427,42.27702051668071,148.25893223036533,4549.892857142857,2400.0,2354.2414965986395,135.26999999999998,2272.1785714285716,6.846754678710391,7.310542857142858,153.49142857142857,2271.157142857143,2576.2628571428572,6991.304571428572,76.9904766952381,135.51857142857142,2686.6657142857143,3176244.0,2334.8231425226645,2257.0238095238096
