date,lme_change,baltic_dry_index,bloomberg_metals_price,bloomberg_metals_change,ftse_index,ftse_index_change,sp_metals_price,sp_metals_change,mosexchange_value,alcoa_price,chalco_price,chalco_adj,hongqiao_price,hongqiao_adj,kaiser_price,norsk_hydro_price,norsk_hydro_adj,rual_price,rual_price_change,rub_to_cny,rub_to_cny_change,usd_to_hkd,usd_to_clp,usd_to_cny,dxy_rate,usd_to_eur,usd_to_jpy,usd_to_rub,china_index,shanghai_index,export_australia_value,import_australia_value,australia_inflation,australia_pmi,export_brazil_value,import_brazil_value,brazil_inflation,brazil_pmi,china_gdp_increment_value,export_china_value,china_inflation_value,china_pmi1_value,china_pmi2_value,eu_inflation_value,guinea_inflation,usa_gdp_increment_value,export_usa_value,import_usa_value,usa_inflation_value,usa_pmi_value,usa_interest_rate_value,log10_lme_volume,log10_alcoa_volume,log10_hongqiao_volume,log10_kaiser_volume,log10_rual_volume,log10_chalco_volume,log10_norsk_hydro_volume,lme_price_smooth
2021-01-17,-0.4528571428571428,1786.571428571429,135.7867857142857,-0.5039285714285715,5080.027142857143,-0.0828571428571427,1837.2107142857144,-0.8624999999999999,10703.32142857143,24.429642857142856,2.7914285714285714,2.657345142857143,7.0200000000000005,5.454204428571429,105.55071428571428,41.32999971428571,34.768713857142856,38.044285714285714,-0.4042857142857143,0.0876,0.0528571428571428,7.753667142857142,730.0085714285714,6.476,90.49285714285716,0.8242857142857142,103.86571428571428,73.74302857142857,1893.2114285714283,2880.414285714286,309.866,183.891,0.9,55.8,61.343,192.298,4.31,64.0,2.5,2373467.0,-0.6,54.9,57.5,0.7,10.7,-1.1,820.07,1661657.0,0.2,58.6,0.25,4.4529991203957735,5.132574113211416,7.215548509287954,3.3133241897692822,7.224989736952731,7.632103819973152,6.765375047725456,2013.7278911564624
2021-01-24,0.1314285714285714,1793.7142857142858,136.0525,0.0203571428571428,5197.664285714286,0.8514285714285714,1782.310714285714,-0.5225,10627.717142857144,21.4725,2.697142857142857,2.583374857142857,7.134285714285714,5.592499285714285,101.27357142857144,40.25142871428571,33.75231442857143,36.846428571428575,-0.4985714285714286,0.0868,-0.4757142857142857,7.7520871428571425,728.1471428571429,6.476114285714286,90.39,0.8239142857142857,103.69285714285716,73.97242857142858,1987.6514285714288,2866.875714285714,309.866,183.891,0.9,55.8,61.343,192.298,4.31,64.0,2.5,2373467.0,-0.6,54.9,57.5,0.7,10.7,-1.1,820.07,1661657.0,0.2,58.6,0.25,4.482259053339775,5.353796548688577,7.27818037703144,3.171808776568164,7.081545754685932,7.710743767073859,6.701980111095144,1985.5136054421769
2021-01-31,-0.2314285714285714,1540.2857142857142,133.84714285714287,-0.4642857142857143,5166.611428571428,-1.1857142857142855,1685.142857142857,-0.6299999999999999,10361.697142857143,18.912857142857145,2.481428571428571,2.3949602857142858,7.074285714285714,5.573385428571428,92.18142857142855,37.854284857142865,32.232561999999994,35.487857142857145,-0.75,0.0851571428571428,-0.1471428571428571,7.752095714285715,734.6342857142857,6.455728571428572,90.5442857142857,0.8247285714285714,104.27142857142856,75.60534285714286,2045.917142857143,2868.2385714285715,309.866,183.891,0.9,55.8,61.343,192.298,4.31,64.0,2.5,2373467.0,-0.6,54.9,57.5,0.7,10.7,-1.1,820.07,1661657.0,0.2,58.6,0.25,4.49850469482105,5.405505165291902,7.329343962025011,3.3979204378208983,7.078503809267358,7.581585511099917,6.808745828152887,1997.751700680272
2021-02-07,0.5185714285714286,1351.571428571429,134.11142857142858,0.6428571428571429,5050.0314285714285,-0.2899999999999999,1743.2857142857142,1.8214285714285712,10345.028571428573,19.907142857142855,2.5,2.4814915714285712,7.304285714285713,6.017502714285714,94.44571428571427,39.14571428571429,33.22713157142857,35.54785714285714,0.6985714285714286,0.0856428571428571,0.4514285714285714,7.752241428571429,735.2057142857144,6.461228571428571,91.12714285714286,0.8309285714285713,105.19571428571427,75.67255714285714,2060.617142857143,2867.792857142857,319.06399999999996,171.19414285714285,0.9,55.714285714285715,48.82271428571429,180.9862857142857,4.489999999999999,61.857142857142854,2.5,2561579.8571428573,0.5142857142857142,53.271428571428565,56.04285714285714,0.7,10.614285714285714,-1.1,788.1662857142858,1677729.2857142857,0.4571428571428572,55.771428571428565,0.25,4.451709561086301,5.381639169665976,7.485824110606595,3.576787622053832,7.145442680466227,7.537476891000525,6.729163280666165,1982.469387755102
2021-02-14,0.5442857142857143,1325.857142857143,140.11035714285714,0.7575000000000001,5353.777857142857,3.310714285714286,1812.0964285714283,0.7924999999999999,10317.314285714285,21.48535714285714,2.718,2.7366192285714286,8.891142857142857,7.163435657142857,105.92482142857143,41.01999971428571,34.64621571428571,36.95928571428571,0.7885714285714285,0.0873,0.23,7.752297142857143,725.99,6.452171428571428,90.51428571428572,0.8254857142857143,104.9,73.96042857142857,2067.3385714285714,2854.424285714286,320.59700000000004,169.078,0.9,55.7,46.736,179.10099999999997,4.52,61.5,2.5,2592932.0,0.7,53.0,55.8,0.7,10.6,-1.1,782.849,1680408.0,0.5,55.3,0.25,4.412439040449708,5.2111864047782746,7.40420198001943,3.383556515383713,7.150021660371678,7.64693030626046,6.748824580624627,2040.108843537415
2021-02-21,0.48,1641.428571428571,145.28607142857143,1.1603571428571429,5696.249285714286,3.846428571428571,1855.939285714286,1.925357142857143,10291.512142857142,22.1125,3.152,3.247990485714286,9.571714285714284,7.7274082,111.35196428571427,42.66714257142856,36.645056571428576,39.0875,1.4321428571428572,0.0873571428571428,-0.2428571428571428,7.752438571428571,712.0142857142857,6.462142857142857,90.46571428571428,0.8257428571428571,105.54714285714286,73.78640714285714,2068.227142857143,2847.175714285714,320.59700000000004,169.078,0.9,55.7,46.736,179.10099999999997,4.52,61.5,2.5,2592932.0,0.7,53.0,55.8,0.7,10.6,-1.1,782.849,1680408.0,0.5,55.3,0.25,4.573644744021701,5.376264434457306,7.375204179841697,3.4566035292910606,7.246415261652335,7.96998487701663,6.734533089053116,2098.4319727891157
2021-02-28,-0.5085714285714286,1692.2857142857142,148.63714285714286,-0.6628571428571428,5529.555714285714,-1.2828571428571427,1918.0571428571427,-0.1257142857142858,10203.36642857143,24.92,3.84,3.7794595714285713,9.864285714285714,7.806336857142857,117.07285714285716,46.769999285714285,40.20125142857143,39.8525,-0.665,0.0869,0.0342857142857142,7.754058571428572,713.8614285714285,6.463857142857143,90.47,0.8249142857142857,106.04,74.30879285714286,2034.1085714285712,2760.047142857143,320.59700000000004,169.078,0.9,55.7,46.736,179.10099999999997,4.52,61.5,2.5,2592932.0,0.7,53.0,55.8,0.7,10.6,-1.1,782.849,1680408.0,0.5,55.3,0.25,4.752915396538709,5.452670317337401,7.5360834385946,3.76332817697886,7.474636958089674,8.060762695740824,6.93413263591787,2157.214285714286
2021-03-07,0.2728571428571428,1768.142857142857,144.64142857142858,-0.0285714285714286,5307.654285714286,-1.0042857142857142,1936.0571428571427,1.7642857142857142,10193.564285714285,28.318571428571428,3.857142857142857,3.652454,10.317142857142857,8.111035285714285,116.47714285714288,48.64428542857143,41.30134414285714,39.71857142857143,0.5621428571428572,0.0871142857142857,0.2142857142857142,7.758138571428572,730.3757142857143,6.484128571428571,91.5257142857143,0.8347142857142857,107.70285714285714,74.33411071428573,1953.88,2697.8228571428576,304.4702857142857,167.98514285714285,0.9857142857142858,56.34285714285715,63.18242857142857,183.18057142857143,4.5371428571428565,59.357142857142854,1.6428571428571428,2615991.285714286,0.8285714285714285,52.357142857142854,54.25714285714286,1.1285714285714286,11.457142857142856,0.0571428571428571,813.0624285714285,1754148.4285714286,0.3714285714285714,56.75714285714286,0.25,4.690992284919121,5.457891861752017,7.619237685574659,3.6400405582196376,7.244765337761068,7.980558564845262,6.774373584700624,2168.0748299319725
2021-03-14,0.23,1943.857142857143,143.4,0.1557142857142857,5224.165714285714,0.3228571428571429,2073.7285714285713,1.0785714285714283,10272.58,30.88571428571429,3.9657142857142857,3.811559714285714,10.965714285714284,8.859850142857143,122.26,50.447143,43.09642214285714,42.64714285714286,2.315,0.0882428571428571,0.3399999999999999,7.761974285714286,725.4228571428572,6.506285714285714,91.81428571428572,0.8382428571428572,108.7585714285714,73.71832500000001,1910.9757142857145,2622.1985714285715,282.968,166.528,1.1,57.2,85.111,188.62000000000003,4.56,56.5,0.5,2646737.0,1.0,51.5,52.2,1.7,12.6,1.6,853.347,1852469.0,0.2,58.7,0.25,4.573555431531113,5.312996271389156,7.763167840031811,3.6825695486775274,7.450864922903933,8.027476137022818,6.82213397206652,2174.1292517006805
2021-03-21,0.9757142857142858,2171.5714285714284,145.13285714285715,0.49,5209.587714285714,-1.442,2041.9428571428573,-0.9785714285714284,10388.907142857144,31.107142857142858,3.942857142857143,3.741776428571428,12.034285714285714,9.374800857142857,116.63285714285716,52.428571,44.462134285714285,45.83642857142858,1.3571428571428572,0.0879142857142857,-0.2571428571428572,7.764482857142857,719.3285714285714,6.504885714285714,91.79571428571428,0.8385428571428571,108.91142857142856,73.62878571428571,1895.3814285714288,2580.1014285714286,282.968,166.528,1.1,57.2,85.111,188.62000000000003,4.56,56.5,0.5,2646737.0,1.0,51.5,52.2,1.7,12.6,1.6,853.347,1852469.0,0.2,58.7,0.25,4.630078486360008,5.221845862833921,7.587098048172284,3.5614120369765048,7.373105760350818,7.94814375589494,6.865856556450475,2208.448979591837
