date,lme_price_3features,bloomberg_metals_price,bloomberg_metals_change,ftse_index,ftse_index_change,sp_metals_price,sp_metals_change,mosexchange_price,mosexchange_change,baltic_dry_index,baltic_dry_index_change,usd_clp_price,usd_clp_change,usd_cny_price,usd_cny_change,usd_jpy_price,usd_jpy_change,usd_eur_price,usd_eur_change,usd_rub_price,usd_rub_change,dxy_price,dxy_change,chalco_price,hongqiao_price,norsk_hydro_price,rusal_price,alcoa_price,kaiser_price,australia_fed_rate_value,brazil_pmi_value,brazil_inflation_value,brazil_fed_rate_value,china_pmi_value,china_inflation_value,china_fed_rate_value,china_composite_pmi_value,peru_fed_rate_value,peru_producer_price_index,peru_consumer_price_index,usa_fed_rate_value,usa_inflation_value,usa_pmi_value,import_brazil_value,export_brazil_value,import_usa_value,export_usa_value,import_china_value,export_china_value,import_australia_value,export_australia_value,log10_lme_volume,log10_chalco_volume,log10_hongqiao_volume,log10_norsk_hydro_volume,log10_rusal_volume,log10_alcoa_volume,log10_kaiser_volume,lme_price_smooth
2019-12-01,1755.357142857143,112.04071428571429,-0.5192857142857144,10351.072857142857,-0.16571428571428573,1406.8214285714287,0.2785714285714286,6551.542857142857,0.037142857142857144,1472.5714285714287,3.5100000000000002,806.1271428571428,-0.33285714285714285,7.0340428571428575,-0.005714285714285711,109.28285714285714,0.04714285714285714,0.9071285714285714,-0.08285714285714287,64.1055,0.12571428571428572,109.28285714285714,0.04714285714285714,2.424285714285714,4.152857142857143,32.64142771428571,3.4271428571428575,20.40071442857143,109.39571557142857,0.75,51.8,3.4185714285714286,5.0,51.7,0.9,4.15,52.0,2.25,108.82000000000001,91.84,1.75,0.3,50.9,156728.0,59831.0,1739753.0,875405.0,469268.0,2097279.0,155607.0,308666.0,6.096089149771641,7.013285894879651,6.77338273941383,6.673841048205759,6.353711652715963,6.303990351954708,4.777786265686333,1758.3945578231292
2019-12-08,1758.9285714285713,110.77,0.2785714285714285,10389.377142857144,0.3742857142857143,1439.2428571428572,0.7642857142857142,6600.655714285715,0.3728571428571429,1573.5714285714287,0.06999999999999998,785.37,-0.6414285714285715,7.043514285714286,-0.0057142857142857195,108.70428571428572,-0.14714285714285716,0.9027714285714286,-0.0014285714285714218,63.8698,-0.15571428571428572,108.70428571428572,-0.14714285714285716,2.4071428571428575,4.12,31.601428714285714,3.3942857142857146,20.17142885714286,109.59857171428573,0.75,51.8,4.31,5.0,51.74285714285714,0.6857142857142857,4.15,52.51428571428572,2.25,108.93142857142857,91.88285714285715,1.75,0.3,51.371428571428574,158214.2857142857,65789.0,1840982.4285714286,894374.4285714285,395840.0,2072366.142857143,160918.7142857143,236025.7142857143,6.107568438188693,6.855266097251099,6.5616217163374175,6.8089507105640275,6.347130712860979,6.620774266271604,5.0722921425731595,1778.221088435374
2019-12-15,1765.642857142857,113.23571428571428,0.35428571428571426,10594.374285714284,0.7957142857142857,1481.2714285714285,0.03857142857142864,6812.578571428571,0.6900000000000001,1421.7142857142858,-2.717142857142857,768.16,-0.35000000000000003,7.009957142857142,-0.07285714285714286,109.04142857142857,0.1257142857142857,0.8995571428571428,-0.09571428571428574,63.05187142857143,-0.2885714285714286,109.04142857142857,0.1257142857142857,2.5271428571428567,4.38,32.355714142857146,3.512857142857143,20.738571714285715,114.05999957142856,0.75,51.8,4.31,5.0,51.8,0.4,4.15,53.2,2.25,108.95,91.93999999999998,1.75,0.3,52.0,158462.0,66782.0,1857854.0,897536.0,383602.0,2068214.0,161804.0,223919.0,6.12883448622022,7.020910943745355,6.620199595042824,6.714883135270591,6.783763030984177,6.566592989047808,5.017040707525114,1758.7176870748299
2019-12-22,1787.2857142857142,115.09,0.25142857142857145,10832.817142857142,-0.1357142857142857,1470.8428571428572,-0.28285714285714286,6928.388571428572,0.14142857142857143,1188.142857142857,-3.2271428571428573,755.1528571428571,-0.16000000000000006,7.004642857142857,0.04142857142857143,109.44714285714285,0.009999999999999998,0.8999142857142858,0.09857142857142857,62.38795714285714,-0.17,109.44714285714285,0.009999999999999998,2.577142857142857,4.47,32.66857042857143,3.697142857142857,21.14999985714286,112.93571471428572,0.75,51.8,4.31,5.0,51.8,0.4,4.15,53.2,2.25,108.95,91.93999999999998,1.75,0.3,52.0,158462.0,66782.0,1857854.0,897536.0,383602.0,2068214.0,161804.0,223919.0,6.166848915900054,6.882592102486884,6.437760624914694,6.703647261733096,6.717322121577488,6.611411222357042,5.307458638902581,1761.4081632653063
2019-12-29,1815.0714285714287,115.80857142857143,0.06142857142857143,10843.672857142856,0.26285714285714284,1488.207142857143,0.37857142857142856,6977.24,0.23857142857142857,1064.7142857142858,-3.4752380952380952,749.2571428571429,-0.03428571428571431,6.997785714285714,-0.042857142857142864,109.34857142857142,-0.10428571428571429,0.8982714285714285,-0.2542857142857143,62.050042857142856,-0.10428571428571429,109.34857142857142,-0.10428571428571429,2.595714285714286,4.501428571428571,32.635000500000004,3.774285714285714,21.503571642857143,111.79071657142858,0.75,51.8,4.31,5.0,51.8,0.4,4.15,53.2,2.25,108.95,91.93999999999998,1.75,0.3,52.0,158462.0,66782.0,1857854.0,897536.0,383602.0,2068214.0,161804.0,223919.0,6.171235978224302,7.129219820213672,6.5145270978704986,6.503333370988803,6.378865430568511,6.3819589816552496,4.71303957927831,1777.9149659863945
2020-01-05,1811.75,114.97285714285714,-0.31499999999999995,11187.214285714286,0.5650000000000001,1479.8214285714287,-0.42857142857142855,7068.082857142857,0.6507142857142858,948.2857142857143,-8.106190476190477,757.7628571428571,0.7642857142857142,6.9692,-0.037142857142857144,108.46571428571428,-0.20142857142857146,0.8936571428571429,-0.011428571428571436,62.01587857142857,-0.004999999999999989,108.46571428571428,-0.20142857142857146,2.7314285714285718,4.740714285714286,32.81714242857142,3.809285714285714,21.39071428571429,111.01500142857142,0.75,51.67142857142857,4.224285714285714,4.928571428571429,51.75714285714285,0.3428571428571429,4.15,53.114285714285714,2.25,108.88142857142859,91.96857142857142,1.75,0.3,52.1,155713.14285714287,74216.42857142857,1779221.857142857,866419.5714285715,409970.28571428574,2090696.0,161783.85714285713,239711.85714285713,6.167942199437483,7.213154712088852,6.542824120293071,6.601285055989818,6.594249016443556,6.439723414520254,4.9150920696410045,1786.3741496598639
2020-01-12,1806.142857142857,115.49000000000001,0.27999999999999997,11344.051428571429,0.34714285714285714,1430.4428571428573,-0.6642857142857144,7198.067857142857,0.7135714285714284,784.7142857142857,-2.325714285714286,769.5442857142856,0.29714285714285715,6.933057142857143,-0.1742857142857143,109.17999999999999,0.23714285714285716,0.8979714285714285,0.015714285714285712,61.32355714285715,-0.3392857142857143,109.17999999999999,0.23714285714285716,2.6271428571428572,4.647142857142858,32.28571371428571,3.8442857142857143,20.157142999999998,107.75571328571428,0.75,50.9,4.19,4.5,51.5,0.0,4.15,52.6,2.25,108.79,92.14,1.75,0.3,52.7,152048.0,84129.0,1674379.0,824931.0,445128.0,2120672.0,161757.0,260769.0,6.154743538704593,7.0582277802795135,6.498606408619679,6.617548856458915,6.538904895757085,6.67331785958495,4.964887362763923,1777.751700680272
2020-01-19,1805.642857142857,116.32571428571428,0.04321428571428571,11499.67,0.36,1409.9678571428572,-0.6624999999999999,7485.494285714286,1.1785714285714286,757.2857142857143,-1.1028571428571428,772.8028571428571,-0.10714285714285712,6.8763,-0.14857142857142858,110.05428571428571,0.09571428571428571,0.8992857142857142,0.09714285714285713,61.49584285714286,0.09571428571428572,110.05428571428571,0.09571428571428571,2.6357142857142857,4.734285714285714,32.21428528571429,4.288571428571428,18.654643714285715,105.89893025,0.75,50.9,4.19,4.5,51.5,0.0,4.15,52.6,2.25,108.79,92.14,1.75,0.3,52.7,152048.0,84129.0,1674379.0,824931.0,445128.0,2120672.0,161757.0,260769.0,6.132958657868287,7.06229583583941,6.344095502510674,6.739161534850079,6.920928070533016,6.89918773025399,5.058873898684711,1775.996598639456
2020-01-26,1797.4285714285713,112.77857142857144,-1.2839285714285715,11083.302207792207,-2.588051948051948,1339.1107142857143,-1.6367857142857143,7532.217142857144,-0.21,611.0,-4.928571428571429,775.6971428571429,0.27142857142857146,6.918,0.15999999999999998,109.53999999999999,-0.19,0.9043142857142856,0.13285714285714284,62.0469,0.3714285714285714,109.53999999999999,-0.19,2.446857142857143,4.424857142857143,31.052856571428574,4.5445714285714285,16.164643285714284,101.80321525,0.75,50.9,4.19,4.5,51.5,0.0,4.15,52.6,2.25,108.79,92.14,1.75,0.3,52.7,152048.0,84129.0,1674379.0,824931.0,445128.0,2120672.0,161757.0,260769.0,6.10781360563532,7.060315535610272,6.077914845702461,6.747601974907961,6.890080698883887,6.894557115980441,5.172613560326058,1796.136054421769
2020-02-02,1739.5,106.37428571428572,-0.8628571428571429,10325.966363636364,-7.09909090909091,1282.6571428571428,-0.7514285714285714,7399.835714285714,-0.5985714285714286,506.85714285714283,-2.817142857142857,792.3042857142857,0.2485714285714286,6.948814285714286,0.1742857142857143,108.77,-0.15285714285714286,0.9050571428571429,-0.12285714285714287,63.234114285714284,0.5199999999999999,108.77,-0.15285714285714286,2.3117142857142854,3.9837142857142855,29.46571457142857,4.272571428571428,14.358571428571427,101.47000028571428,0.75,50.9,4.138571428571429,4.5,51.5,0.0,4.15,52.6,2.25,108.78285714285714,92.14,1.75,0.3,52.7,152866.85714285713,83420.28571428571,1675251.857142857,810049.8571428572,444663.5714285714,2156760.285714286,158953.57142857142,266297.4285714286,6.102804728966192,7.144487564524402,6.427168626993996,6.799951550497238,6.970894889512222,6.899912620643344,5.108551579603544,1751.7176870748299
