date,value__abs_energy_lme_price_3features_4_weeks,value__abs_energy_peru_producer_price_index_12_weeks,value__absolute_maximum_sp_metals_price_4_weeks,"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)_peru_consumer_price_index_4_weeks","value__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)_peru_consumer_price_index_9_weeks","value__fft_coefficient__attr_""real""__coeff_0_lme_price_3features_2_weeks",value__maximum_lme_price_3features_12_weeks,value__maximum_lme_price_smooth_4_weeks,value__median_peru_producer_price_index_4_weeks,value__minimum_lme_price_3features_9_weeks,value__minimum_log10_hongqiao_volume_12_weeks,value__quantile__q_0.1_hongqiao_price_12_weeks,value__quantile__q_0.3_bloomberg_metals_price_9_weeks,value__quantile__q_0.4_lme_price_smooth_2_weeks,value__quantile__q_0.4_sp_metals_price_12_weeks,value__quantile__q_0.6_mosexchange_price_12_weeks,value__quantile__q_0.6_norsk_hydro_price_9_weeks,value__quantile__q_0.6_peru_producer_price_index_9_weeks,value__quantile__q_0.8_sp_metals_price_12_weeks,value__quantile__q_0.9_export_china_value_12_weeks,value__root_mean_square_lme_price_3features_9_weeks,lme_price_smooth
2018-01-14,5012641.225765307,11111.2681,1883.810714285714,17.14427669711568,34.28855339423136,2238.8928571428573,2238.8928571428573,2237.375850340136,105.41,2238.8928571428573,6.800356356393896,9.2275,136.7982142857143,2237.375850340136,1883.810714285714,5963.8555,61.31607160714286,105.41,1883.810714285714,1981156.0,2238.8928571428573,2189.2448979591836
2018-01-21,9851069.9247449,22222.5362,1923.292857142857,17.128208122716217,33.77636313551755,4438.535714285715,2238.8928571428573,2237.375850340136,105.41,2199.6428571428573,6.800356356393896,9.332464285714284,136.1374642857143,2208.4972789115645,1899.6035714285713,6005.3895571428575,61.60985755714285,105.41,1915.3964285714285,1981156.0,2219.3546274474593,2209.4251700680275
2018-01-28,14800105.766581636,33333.804299999996,1931.792857142857,34.23978634856566,66.5829634447594,4424.285714285715,2238.8928571428573,2237.375850340136,105.41,2199.6428571428573,6.800356356393896,9.43742857142857,135.91,2197.317006802721,1915.3964285714285,6039.6254285714285,61.41400025714286,105.41,1928.3928571428569,1981156.0,2221.118769643025,2231.5102040816323
2018-02-04,19803316.098214287,44445.0724,1943.928571428571,34.14355315498269,63.632949578332706,4461.428571428572,2238.8928571428573,2237.375850340136,105.41,2199.6428571428573,6.800356356393896,9.542392857142858,135.93785714285715,2218.2591836734696,1924.992857142857,6059.264928571429,61.22714282857143,105.41,1936.6471428571426,1981156.0,2225.045847741923,2234.017006802721
2018-02-11,19743525.12244898,55561.76224693877,1943.928571428571,34.15905379581773,93.19497721104668,4462.285714285714,2238.8928571428573,2234.017006802721,105.41,2199.6428571428573,6.800356356393896,9.5445,136.11735714285714,2232.512925170068,1907.4999999999998,6046.171928571429,61.049285271428566,105.41,1934.2199999999998,2052766.6857142856,2225.1366856089667,2196.112244897959
2018-02-18,19594177.32142857,66685.68314693877,1943.928571428571,34.15905379581773,86.34814435250986,4390.928571428572,2238.8928571428573,2234.017006802721,105.42285714285714,2165.4285714285716,6.800356356393896,9.059464285714284,135.9007142857143,2211.2741496598637,1883.810714285714,6033.078928571429,60.87142771428571,105.41,1931.792857142857,2180074.5714285714,2215.297092422499,2150.095238095238
2018-02-25,19332675.77040816,77809.60404693877,1943.928571428571,34.15905379581773,111.54129783963697,4330.5,2238.8928571428573,2234.017006802721,105.45285714285714,2165.0714285714284,6.458828131296179,9.029942857142855,135.92857142857144,2168.5020408163264,1869.472857142857,6025.259928571429,59.84628497142857,105.42542857142857,1930.092857142857,2259642.0,2208.1919409646885,2212.670068027211
2018-03-04,19094642.586734693,88933.52494693876,1872.1142857142856,34.1802075927611,100.04781227158523,4348.0,2238.8928571428573,2234.017006802721,105.47,2165.0714285714284,6.393323254500484,9.05302857142857,136.03225,2175.1251700680273,1869.6742857142856,6026.284357142857,58.821142228571425,105.44257142857143,1928.3928571428569,2259642.0,2205.049848783157,2179.595238095238
2018-03-11,18750174.56122449,100057.44584693876,1872.1142857142856,34.201520973909275,120.5129056114862,4329.642857142857,2238.8928571428573,2212.670068027211,105.47,2146.714285714286,6.393323254500484,8.972571428571428,135.89142857142858,2192.825170068027,1862.3542857142857,6022.374857142857,57.951428057142856,105.46314285714286,1926.692857142857,2259642.0,2198.644554907985,2126.0544217687075
2018-03-18,18560037.66836735,111238.39344693876,1872.1142857142856,34.201520973909275,120.55508964805547,4267.785714285714,2238.8928571428573,2212.670068027211,105.47,2121.0714285714284,6.393323254500484,8.982714285714286,135.5577142857143,2147.47074829932,1857.5942857142857,6017.953142857143,56.49542851428572,105.47,1924.992857142857,2259642.0,2185.625862279257,2085.62925170068
