date,value__sum_values_chalco_price_2_weeks,value__index_mass_quantile__q_0.4_usa_inflation_value_26_weeks,value__absolute_maximum_usd_to_rub_2_weeks,value__time_reversal_asymmetry_statistic__lag_3_brazil_pmi_26_weeks,"value__fft_aggregated__aggtype_""centroid""_log10_norsk_hydro_volume_12_weeks",value__c3__lag_3_norsk_hydro_price_12_weeks,value__time_reversal_asymmetry_statistic__lag_2_export_australia_value_26_weeks,target
2019-07-07,5.6085714285714285,0.7307692307692307,63.62018571428571,-1031.1847806122546,0.0508703646086592,38774.70907161627,99781.50264168132,1798.3826530612243
2019-07-14,5.538571428571428,0.6923076923076923,63.37222857142857,-1785.846312244906,0.0514260524569529,36516.0612418671,-92145.8089802973,1761.154761904762
2019-07-21,5.344285714285714,0.6538461538461539,63.37222857142857,-2447.6998051020446,0.0510958982881511,34585.66585936153,-672422.3885082992,1766.438775510204
2019-07-28,5.214285714285714,0.6153846153846154,63.3084,-2760.4466551020423,0.0512165461751912,32678.993593482763,-1272388.5499333867,1778.246598639456
2019-08-04,5.23,0.6153846153846154,63.201928571428574,-3090.789591836736,0.0379467014263473,31419.36399241728,-1929903.9186222227,1761.0909863945578
2019-08-11,5.162857142857144,0.5769230769230769,63.987428571428566,-3372.8225530612253,0.0505916942917374,30751.747388639793,-2296563.9436109145,1759.3061224489795
2019-08-18,4.877142857142857,0.5384615384615384,65.25077142857143,-3529.1539530612267,0.0577748265135932,29750.65222903188,-1461829.472492725,1798.3945578231292
2019-08-25,4.587142857142856,0.5,65.75435714285713,-3447.6311448979613,0.0555546729496916,28793.26910503331,-530650.4647215112,1796.9608843537414
2019-09-01,4.564285714285714,0.5,66.1326,-3354.798687755104,0.0582183805727311,28076.15343889276,301879.0500039006,1773.3469387755104
2019-09-08,4.5771428571428565,0.4615384615384615,66.45438571428572,-3371.7986877551034,0.0473405615815706,27118.070456080193,1044108.7662610412,1727.8265306122448
2019-09-15,4.615714285714286,0.4230769230769231,66.45438571428572,-3648.0436571428577,0.0383611260313744,26273.52931188054,818403.4883579072,1735.3945578231292
2019-09-22,5.002857142857144,0.4230769230769231,66.39338571428571,-3980.08773877551,0.0516496351200358,26061.926004122248,669765.8325725213,1728.3503401360545
2019-09-29,5.345714285714286,0.3846153846153846,65.13551428571428,-4388.263857142856,0.045136610156618,26045.658062011313,570739.1695942093,1729.1224489795918
2019-10-06,5.207142857142857,0.3461538461538461,64.15951428571428,-4693.3524071428565,0.0442811846943267,25993.664837732507,449714.0389591293,1746.5238095238094
2019-10-13,4.968928571428572,0.3461538461538461,64.98588571428571,-4538.323583673469,0.0455000969294072,26466.896010966953,243425.7739012182,1799.4557823129253
2019-10-20,4.925714285714285,0.3076923076923077,64.98588571428571,-3981.661690816327,0.0457761796748112,27339.342490629057,-431476.21870436927,1780.374149659864
2019-10-27,4.9782142857142855,0.2692307692307692,64.68815714285714,-3149.172090816326,0.0464994526819793,28183.95220059421,-1106578.4963374466,1742.503401360544
2019-11-03,4.985714285714286,0.2692307692307692,64.12427142857142,-1938.947062244897,0.0392773510591672,29373.76670717736,-1803892.29173953,1747.503401360544
2019-11-10,4.884285714285714,0.2307692307692307,63.90827142857143,-750.7351489795903,0.0459721795780892,30815.33823262353,-2112834.714863368,1769.0544217687077
2019-11-17,4.9314285714285715,0.2307692307692307,63.90827142857143,556.2912010204097,0.0340075515949929,32451.58361087559,-1622416.642105749,1761.2857142857142
2019-11-24,4.984285714285715,0.2307692307692307,63.999028571428575,1459.4899153061233,0.0502996256611847,33757.486466195645,-1099927.8069281569,1777.2448979591838
2019-12-01,4.822857142857143,0.1923076923076923,63.999028571428575,2303.495698979591,0.0457662618969629,34641.431677361456,-385020.7846941529,1807.5510204081631
2019-12-08,4.787142857142857,0.3461538461538461,64.02571428571429,3247.5583989795887,0.0673658218761824,35526.19556478558,244646.8220987248,1819.5697278911564
