date,lme_price,lme_volume,lme_change,baltic_dry_index,bloomberg_metals_price,bloomberg_metals_change,ftse_index,ftse_index_change,sp_metals_price,sp_metals_change,mosexchange_value,alcoa_price,alcoa_volume,chalco_price,chalco_adj,chalco_volume,hongqiao_price,hongqiao_adj,hongqiao_volume,kaiser_price,kaiser_volume,norsk_hydro_price,norsk_hydro_adj,norsk_hydro_volume,rual_price,rual_volume,rual_price_change,rub_to_cny,rub_to_cny_change,usd_to_hkd,USD_CLP_rate,USD_CNY_rate,DXY_rate,USD_EUR_rate,USD_JPY_rate,USD_RUB_rate,china_index,shanghai_index,export_australia_value,import_australia_value,australia_inflation,australia_pmi,export_brazil_value,import_brazil_value,brazil_inflation,brazil_pmi,china_gdp_increment_value,export_china_value,import_china_value,china_inflation_value,china_bid_value,china_pmi1_value,china_pmi2_value,eu_inflation_value,guinea_inflation,rus_inflation_value,rus_pmi_value,usa_gdp_increment_value,export_usa_value,import_usa_value,usa_inflation_value,usa_pmi_value,usa_bid_value
2022-10-16,2285.9285714285716,43934.28571428572,-0.7414285714285713,1865.4285714285713,146.48857142857145,-0.48428571428571426,5437.268571428571,0.7628571428571428,2320.4285714285716,-0.5285714285714287,4761.2242857142855,39.220000000000006,199054.14285714287,2.6185714285714283,2.563501,33140515.14285714,6.5042857142857144,5.965524285714286,12927502.285714285,66.93571428571428,1900.5714285714287,60.50571385714285,55.48433,4199632.142857143,34.42928571428571,15005714.285714285,-0.1557142857142855,0.11308571428571428,0.45142857142857146,7.849594285714285,948.04,7.176114285714285,112.95714285714287,1.0266857142857142,147.45428571428573,63.019999999999996,2007.3171428571427,1803.9114285714288,411.35,262.54,7.3,53.5,149.941,226.55300000000003,7.17,51.1,3.7,3543660.0,1037046.0,-0.1,3.65,49.5,48.5,5.67,8.46,0.1,52.0,1.7,1291296.0,3030454.0,0.4,49.5,2.9285714285714284
2022-10-23,2198.4285714285716,39151.42857142857,-0.8457142857142858,1837.2857142857142,144.7,-0.08571428571428572,5422.382857142858,-0.66,2392.4714285714285,1.9914285714285715,5010.897142857143,38.99714285714286,367947.5714285714,2.57,2.5380781428571426,25899358.57142857,6.242857142857143,5.640708142857143,18364742.714285713,72.53571428571429,2026.7142857142858,60.82285771428571,56.40036414285714,4183998.4285714286,33.357142857142854,19171428.57142857,0.6314285714285716,0.11732857142857143,0.34714285714285714,7.849118571428571,975.2142857142857,7.225471428571429,112.29142857142857,1.0165142857142857,148.93714285714285,61.59392857142858,1932.042857142857,1755.5357142857142,411.35,262.54,7.3,53.5,149.941,226.55300000000003,7.17,51.1,3.7,3543660.0,1037046.0,-0.1,3.65,49.5,48.5,5.67,8.46,0.1,52.0,1.7,1291296.0,3030454.0,0.4,49.5,3.25
2022-10-30,2236.785714285714,43400.0,-0.3357142857142856,1628.7142857142858,145.80142857142854,-0.7371428571428572,5296.327142857143,-0.9528571428571428,2485.914285714286,-0.08428571428571423,5319.028571428572,40.42285714285714,207270.57142857142,2.455714285714286,2.371415285714286,60266862.71428572,5.8914285714285715,5.314571857142857,22360385.0,79.56714285714285,1037.2857142857142,64.60571457142858,60.145864857142854,5373499.714285715,36.24928571428571,22407142.85714286,1.852857142857143,0.11750000000000001,0.03,7.849281428571429,953.6071428571429,7.246842857142857,110.89428571428572,1.0041714285714287,147.58571428571426,61.52607142857143,1841.8528571428571,1663.81,411.35,262.54,7.3,53.5,149.941,226.55300000000003,7.17,51.1,3.7,3543660.0,1037046.0,-0.1,3.65,49.5,48.5,5.67,8.46,0.1,52.0,1.7,1291296.0,3030454.0,0.4,49.5,3.25
2022-11-06,2289.6428571428573,37437.142857142855,1.3771428571428572,1347.7142857142858,148.67000000000002,1.507142857142857,5508.444285714286,2.1285714285714286,2475.7285714285713,1.4757142857142858,5344.983571428572,40.45142857142857,208004.42857142858,2.277142857142857,2.320569,55681358.571428575,5.981428571428571,5.688242285714286,17554697.285714287,81.98285714285714,906.5714285714286,66.95714242857143,62.08817128571428,4345936.571428572,36.28642857142857,11670000.0,0.41785714285714276,0.11738571428571429,-0.14285714285714282,7.849505714285714,934.3642857142858,7.250757142857142,111.30999999999999,1.0103285714285715,147.56571428571428,61.69785714285714,1773.4485714285713,1540.3757142857144,373.2637142857143,233.0777142857143,7.442857142857143,53.271428571428565,137.25242857142857,218.92271428571425,6.97,51.01428571428572,2.8714285714285714,3396144.0,1021567.1428571428,0.12857142857142856,3.65,48.699999999999996,48.44285714285714,5.752857142857143,8.494285714285715,0.1285714285714286,51.628571428571426,1.4142857142857144,1236733.142857143,2955266.5714285714,0.42857142857142855,49.128571428571426,3.25
2022-11-13,2390.6428571428573,51811.42857142857,1.4442857142857142,1358.7142857142858,158.97714285714284,1.8914285714285715,5734.53,0.16428571428571423,2585.371428571428,0.8871428571428571,5539.948571428571,44.07285714285714,406334.71428571426,2.682857142857143,2.7132151428571425,58276515.71428572,6.481428571428572,6.323316571428571,19375603.714285713,88.74571428571429,1844.2857142857142,69.96857228571429,65.47933414285714,4253547.142857143,38.55214285714286,19301428.57142857,1.7585714285714285,0.1177,-0.20714285714285713,7.846345714285714,899.2385714285714,7.169057142857143,108.25142857142858,0.9810428571428572,142.44714285714286,61.0,1707.4457142857143,1404.3042857142857,344.699,210.981,7.8,52.7,127.736,213.2,6.47,50.8,0.8,3285507.0,1009958.0,0.3,3.65,48.1,48.3,5.96,8.52,0.2,50.7,0.7,1195811.0,2898876.0,0.5,48.2,3.25
2022-11-20,2418.5,37507.142857142855,-0.2585714285714286,1242.2857142857142,160.73857142857145,-0.8214285714285714,5599.142857142857,-0.7485714285714286,2609.328571428571,-0.17428571428571424,5574.795714285714,47.541428571428575,165372.0,3.017142857142857,2.987220142857143,48074135.71428572,6.967142857142856,6.839602142857143,25186198.42857143,92.0457142857143,1110.857142857143,72.16285585714286,65.84679414285714,2909481.1428571427,38.74214285714286,13385714.285714285,-0.6157142857142858,0.11681428571428572,-0.20714285714285716,7.826831428571428,918.7271428571429,7.108199999999999,106.81714285714285,0.9677285714285714,140.24571428571429,60.471428571428575,1626.1742857142856,1284.857142857143,344.699,210.981,7.8,52.7,127.736,213.2,6.47,50.8,0.8,3285507.0,1009958.0,0.3,3.65,48.1,48.3,5.96,8.52,0.2,50.7,0.7,1195811.0,2898876.0,0.5,48.2,3.25
2022-11-27,2380.0,26278.571428571428,-0.4242857142857143,1249.5714285714287,155.84214285714285,-0.4121428571428572,5527.845714285714,-0.05142857142857144,2658.35,0.02214285714285705,5567.728571428573,47.86357142857143,135989.35714285713,3.06,3.046541285714286,25074071.42857143,6.784285714285715,6.648324000000001,8516146.0,88.38071428571428,802.5,72.51142857142857,66.73395542857142,2976037.4285714286,38.012142857142855,7674285.714285715,-0.5771428571428572,0.11777142857142857,-0.04714285714285719,7.8119757142857145,920.8514285714285,7.1638,106.50714285714285,0.9655571428571428,139.81428571428572,60.64035714285715,1535.26,1213.1742857142858,344.699,210.981,7.8,52.7,127.736,213.2,6.47,50.8,0.8,3285507.0,1009958.0,0.3,3.65,48.1,48.3,5.96,8.52,0.2,50.7,0.7,1195811.0,2898876.0,0.5,48.2,3.25
2022-12-04,2474.0,45332.857142857145,1.3,1334.0,163.48857142857145,1.34,5553.807142857143,0.0971428571428572,2708.842857142857,0.35000000000000003,5650.208571428571,48.628571428571426,150040.42857142858,3.262857142857143,3.2541635714285713,40809606.0,7.124285714285714,7.039319285714286,17845455.42857143,88.03428571428572,1231.0,72.84857071428571,66.94131142857142,4066877.0,38.77928571428571,11574285.714285715,0.5528571428571428,0.11435714285714285,-1.2142857142857142,7.797304285714286,891.2985714285714,7.0705,105.50714285714287,0.9565571428571429,136.60857142857142,61.24607142857143,1449.1457142857143,1161.8542857142857,340.34242857142857,207.617,7.8,52.7,123.62457142857144,205.56114285714284,6.47,50.8,0.8,3240599.0,721659.0802857142,0.24285714285714285,3.65,48.41428571428572,48.3,5.96,8.56,0.2,50.7,0.7,1195539.5714285714,2895118.0,0.5,48.2,3.25
2022-12-11,2484.9285714285716,35028.57142857143,-0.88,1364.857142857143,169.4485714285714,-0.07999999999999996,5629.698571428571,0.2714285714285714,2651.2428571428572,-1.1199999999999999,5712.155714285714,47.08428571428572,109470.28571428571,3.4699999999999998,3.471672714285714,38229285.14285714,7.352857142857142,7.289668142857143,16728933.0,82.71000000000001,2001.4285714285713,74.19428571428571,68.31667114285713,3615423.714285714,39.37428571428571,7104285.714285715,0.2642857142857143,0.11097142857142857,-0.07714285714285718,7.78219,870.04,6.968385714285715,105.07000000000001,0.9506142857142857,136.83142857142857,62.59428571428572,1389.9157142857143,1133.8614285714286,329.451,199.20700000000002,7.8,51.5,113.346,186.464,5.981428571428572,45.22857142857142,0.8,3128329.0,911.781,0.1,3.65,49.2,47.18571428571429,5.968571428571429,8.66,0.37142857142857144,52.84285714285715,0.7,1194861.0,2885723.0,0.24285714285714288,46.65714285714286,3.25
2022-12-18,2402.0,37561.42857142857,-0.7457142857142858,1473.5714285714287,164.77714285714288,-0.9071428571428571,5504.471428571429,-0.9242857142857143,2580.485714285714,-0.5985714285714286,5715.784285714285,44.410000000000004,135474.57142857142,3.4400000000000004,3.382691428571429,16544753.714285715,7.428571428571429,7.323423285714285,10901843.714285715,79.40428571428572,3487.285714285714,70.92857028571429,65.03312585714285,5677112.285714285,38.81428571428571,7745714.285714285,0.08142857142857134,0.1076142857142857,-1.1428571428571428,7.777445714285714,875.7642857142857,6.9657857142857145,104.50857142857141,0.9425571428571429,136.67428571428573,63.63285714285714,1330.3185714285714,1118.6614285714284,329.451,199.20700000000002,7.8,51.3,113.346,186.464,5.9,44.3,0.8,3128329.0,911.781,0.1,3.65,49.2,47.0,5.97,8.66,0.4,53.2,0.7,1194861.0,2885723.0,0.2,46.4,4.178571428571429
