date;alcoa_price;alcoa_volume
24.08.2018;42.7100000;2605019
27.08.2018;43.4100000;1541066
28.08.2018;44.4800000;3102789
29.08.2018;44.1200000;2139590
30.08.2018;44.9900000;2751443
31.08.2018;44.1000000;1748691
04.09.2018;43.8800000;1780550
05.09.2018;43.1700000;2968951
06.09.2018;42.9000000;5863569
07.09.2018;40.5000000;4759714
10.09.2018;42.0900000;2571271
11.09.2018;41.1900000;3273416
12.09.2018;41.3000000;3214331
13.09.2018;42.5100000;2316521
14.09.2018;41.8100000;2239817
17.09.2018;42.5000000;2609605
18.09.2018;43.4900000;2295605
19.09.2018;43.0500000;2539267
20.09.2018;43.3900000;3116616
21.09.2018;43.3600000;3242274
24.09.2018;43.0300000;3482621
25.09.2018;41.6500000;4312367
26.09.2018;41.3000000;7230008
27.09.2018;40.3800000;2187772
28.09.2018;40.5400000;3189756
01.10.2018;40.8000000;3113650
02.10.2018;40.9600000;4176031
03.10.2018;44.7000000;12530034
04.10.2018;43.3500000;5548371
05.10.2018;42.6400000;3758493
08.10.2018;41.0000000;6715347
09.10.2018;38.4800000;4537991
10.10.2018;37.3100000;3840396
11.10.2018;35.8000000;2689975
12.10.2018;36.3900000;2485075
15.10.2018;35.4700000;2099671
16.10.2018;35.4800000;2325720
17.10.2018;36.3800000;5001222
18.10.2018;38.6100000;12611001
19.10.2018;38.9000000;4260421
22.10.2018;38.7200000;2669546
23.10.2018;38.8700000;2520384
24.10.2018;37.1200000;4152350
25.10.2018;34.5600000;2684443
26.10.2018;33.8400000;3335138
29.10.2018;34.6000000;1908795
30.10.2018;33.6500000;1750554
31.10.2018;34.8200000;2893242
01.11.2018;35.4400000;2372795
02.11.2018;37.0000000;2297591
05.11.2018;36.8400000;1533377
06.11.2018;36.0900000;2152799
07.11.2018;36.7400000;2823605
08.11.2018;36.8600000;3222607
09.11.2018;35.9700000;3809935
12.11.2018;34.2200000;2026835
13.11.2018;33.6900000;3105835
14.11.2018;34.9100000;2559818
15.11.2018;35.0900000;2096742
16.11.2018;35.8500000;2593450
19.11.2018;35.8100000;4059097
20.11.2018;32.4200000;2166143
21.11.2018;33.2000000;1471046
23.11.2018;32.0500000;1126278
26.11.2018;32.4000000;1413861
27.11.2018;32.1400000;2407511
28.11.2018;31.3500000;5074753
29.11.2018;33.4500000;7550817
30.11.2018;31.0400000;4672243
03.12.2018;32.9000000;2578434
04.12.2018;32.1100000;2642605
06.12.2018;29.6600000;3521101
07.12.2018;30.1500000;3018951
10.12.2018;28.6400000;2545376
11.12.2018;29.0000000;2117653
12.12.2018;28.8900000;2749063
13.12.2018;29.2700000;2181154
14.12.2018;28.6000000;3032652
17.12.2018;28.5000000;1828107
18.12.2018;28.1200000;1551629
19.12.2018;28.3200000;4435022
20.12.2018;27.6600000;4298031
21.12.2018;27.3300000;3370962
24.12.2018;26.2700000;1788430
26.12.2018;25.3100000;2869312
27.12.2018;26.4100000;1996544
28.12.2018;27.0900000;2538074
31.12.2018;26.7500000;2040369
02.01.2019;26.0600000;2464797
03.01.2019;26.1200000;2585817
04.01.2019;26.8400000;4755264
07.01.2019;28.5300000;1830461
08.01.2019;28.7300000;1864881
09.01.2019;28.6000000;2036004
10.01.2019;28.6900000;1849081
11.01.2019;28.7200000;3080212
14.01.2019;29.0600000;3461561
15.01.2019;28.9400000;3242109
16.01.2019;29.1900000;7893707
17.01.2019;28.2100000;10776478
18.01.2019;29.9200000;6066840
22.01.2019;29.0000000;3628778
23.01.2019;28.1500000;3894144
24.01.2019;28.1500000;2633928
25.01.2019;28.4200000;5384141
28.01.2019;28.7400000;3146127
29.01.2019;28.2700000;3055710
30.01.2019;29.1000000;6074137
31.01.2019;29.2800000;5981939
01.02.2019;29.7000000;4511967
04.02.2019;28.4300000;1991452
05.02.2019;29.0000000;2420294
06.02.2019;29.0100000;2517895
07.02.2019;28.3800000;4490143
08.02.2019;27.1200000;4359398
11.02.2019;27.5500000;3014233
12.02.2019;28.3300000;2574263
13.02.2019;28.8100000;3747065
14.02.2019;28.7300000;2762798
15.02.2019;28.7100000;2940721
19.02.2019;28.2100000;2440751
20.02.2019;28.3900000;5883505
21.02.2019;29.2000000;3495788
22.02.2019;29.8800000;2865218
25.02.2019;30.4700000;3348070
26.02.2019;30.7000000;3202608
27.02.2019;31.0700000;2131019
28.02.2019;31.0200000;3176650
01.03.2019;29.6800000;1859613
04.03.2019;29.9100000;2269167
05.03.2019;29.0700000;1632103
06.03.2019;29.0600000;2119430
07.03.2019;28.1600000;2757844
08.03.2019;26.9300000;2435924
11.03.2019;26.7600000;3023845
12.03.2019;27.7300000;2773471
13.03.2019;28.6200000;3199459
14.03.2019;28.8000000;3088223
15.03.2019;27.8700000;2129525
18.03.2019;28.0000000;3112677
19.03.2019;29.0300000;2068318
20.03.2019;28.5000000;3065520
21.03.2019;28.5400000;2845752
22.03.2019;29.1000000;2904790
25.03.2019;28.1200000;2316723
26.03.2019;28.1400000;3788833
27.03.2019;27.8600000;2116439
28.03.2019;28.0500000;2128068
29.03.2019;28.2800000;2795005
01.04.2019;28.6500000;3272271
02.04.2019;29.1300000;3345867
03.04.2019;28.4500000;3726473
04.04.2019;28.6000000;2349147
05.04.2019;29.4000000;2588820
08.04.2019;29.5500000;1810176
09.04.2019;29.3800000;2036291
10.04.2019;29.2100000;2233271
