date;bloomberg_metals_price;bloomberg_metals_change
01.06.2018;138,02;0,93%
31.05.2018;136,75;0,18%
30.05.2018;136,51;0,52%
29.05.2018;135,81;0,29%
25.05.2018;135,42;-0,57%
24.05.2018;136,2;0,86%
23.05.2018;135,04;-1,07%
22.05.2018;136,5;0,12%
21.05.2018;136,33;0,51%
18.05.2018;135,64;-0,48%
17.05.2018;136,3;0,14%
16.05.2018;136,11;0,38%
15.05.2018;135,6;-0,37%
14.05.2018;136,1;0,60%
11.05.2018;135,29;-0,35%
10.05.2018;135,77;0,21%
09.05.2018;135,48;0,05%
08.05.2018;135,41;-0,27%
07.05.2018;135,78;-0,08%
04.05.2018;135,89;1,80%
03.05.2018;133,49;-0,93%
02.05.2018;134,74;1,56%
01.05.2018;132,67;-0,79%
30.04.2018;133,72;0,18%
27.04.2018;133,48;-1,98%
26.04.2018;136,18;0,24%
25.04.2018;135,85;-0,07%
24.04.2018;135,94;-0,82%
23.04.2018;137,06;-2,99%
20.04.2018;141,28;-0,39%
19.04.2018;141,84;-1,27%
18.04.2018;143,66;4,37%
17.04.2018;137,64;-0,15%
16.04.2018;137,85;2,24%
13.04.2018;134,83;0,05%
12.04.2018;134,76;-0,69%
11.04.2018;135,69;0,50%
10.04.2018;135,01;2,00%
09.04.2018;132,36;1,69%
06.04.2018;130,16;0,12%
05.04.2018;130,01;1,21%
04.04.2018;128,46;-1,12%
03.04.2018;129,92;0,09%
02.04.2018;129,8;0,32%
29.03.2018;129,38;0,22%
28.03.2018;129,1;0,02%
27.03.2018;129,07;0,46%
26.03.2018;128,48;-0,05%
23.03.2018;128,55;-0,90%
22.03.2018;129,72;-1,19%
21.03.2018;131,28;0,60%
20.03.2018;130,5;-1,07%
19.03.2018;131,91;-0,47%
16.03.2018;132,53;-0,11%
15.03.2018;132,68;-0,67%
14.03.2018;133,58;-0,33%
13.03.2018;134,02;0,89%
12.03.2018;132,84;-0,95%
09.03.2018;134,11;1,93%
08.03.2018;131,57;-1,20%
07.03.2018;133,17;-1,24%
06.03.2018;134,84;0,75%
05.03.2018;133,84;-0,35%
02.03.2018;134,31;-0,26%
01.03.2018;134,66;-0,58%
28.02.2018;135,45;-1,12%
27.02.2018;136,99;-0,70%
26.02.2018;137,96;0,21%
23.02.2018;137,67;-1,09%
22.02.2018;139,19;0,06%
21.02.2018;139,11;0,72%
20.02.2018;138,11;-1,42%
16.02.2018;140,1;0,28%
15.02.2018;139,71;0,06%
14.02.2018;139,62;2,68%
13.02.2018;135,97;2,05%
12.02.2018;133,24;0,86%
09.02.2018;132,11;-1,59%
08.02.2018;134,24;0,28%
07.02.2018;133,87;-2,07%
06.02.2018;136,7;-1,77%
05.02.2018;139,17;1,05%
02.02.2018;137,73;-1,42%
01.02.2018;139,72;0,79%
31.01.2018;138,63;0,79%
30.01.2018;137,54;-1,13%
29.01.2018;139,11;0,12%
26.01.2018;138,94;-0,01%
25.01.2018;138,95;0,01%
24.01.2018;138,93;2,80%
23.01.2018;135,15;-1,24%
22.01.2018;136,84;0,51%
19.01.2018;136,15;0,14%
18.01.2018;135,96;0,84%
17.01.2018;134,83;-0,70%
16.01.2018;135,78;-0,41%
12.01.2018;136,34;0,40%
11.01.2018;135,8;-0,24%
10.01.2018;136,13;0,90%
09.01.2018;134,91;-0,46%
08.01.2018;135,54;-0,28%
05.01.2018;135,92;-1,19%
04.01.2018;137,56;0,76%
03.01.2018;136,52;-1,07%
02.01.2018;138;-0,37%
