date;ftse_index;ftse_index_change
05.06.2019;3.755,22;0,08%
04.06.2019;3.752,36;-1,46%
03.06.2019;3.807,82;-1,30%
31.05.2019;3.857,81;-1,14%
30.05.2019;3.902,20;0,58%
29.05.2019;3.879,87;0,55%
28.05.2019;3.858,79;0,07%
27.05.2019;3.855,98;2,16%
24.05.2019;3.774,46;-0,27%
23.05.2019;3.784,75;-1,53%
22.05.2019;3.843,62;-1,95%
21.05.2019;3.920,08;2,50%
20.05.2019;3.824,46;0,43%
17.05.2019;3.808,14;-3,45%
16.05.2019;3.944,25;2,83%
15.05.2019;3.835,62;1,83%
14.05.2019;3.766,68;-0,56%
13.05.2019;3.787,81;-1,40%
10.05.2019;3.841,63;2,46%
09.05.2019;3.749,41;-1,00%
08.05.2019;3.787,37;-1,15%
07.05.2019;3.831,51;0,71%
06.05.2019;3.804,60;-6,58%
30.04.2019;4.072,50;0,82%
29.04.2019;4.039,40;-2,53%
26.04.2019;4.144,16;-2,17%
25.04.2019;4.235,97;-3,31%
24.04.2019;4.381,04;0,22%
23.04.2019;4.371,29;-0,95%
22.04.2019;4.413,09;-2,30%
19.04.2019;4.517,20;0,22%
18.04.2019;4.507,10;-0,50%
17.04.2019;4.529,76;-0,09%
16.04.2019;4.533,96;2,66%
15.04.2019;4.416,50;-0,50%
12.04.2019;4.438,61;-0,99%
11.04.2019;4.482,77;-1,57%
10.04.2019;4.554,44;-0,89%
09.04.2019;4.595,26;-1,89%
08.04.2019;4.683,99;2,58%
04.04.2019;4.566,28;0,39%
03.04.2019;4.548,76;0,88%
02.04.2019;4.509,14;0,86%
01.04.2019;4.470,52;5,07%
29.03.2019;4.254,71;2,80%
28.03.2019;4.138,96;-1,46%
27.03.2019;4.200,18;-0,02%
26.03.2019;4.200,88;-1,96%
25.03.2019;4.284,99;-2,55%
22.03.2019;4.397,28;-0,72%
21.03.2019;4.428,98;0,28%
20.03.2019;4.416,44;-0,44%
19.03.2019;4.435,90;-0,99%
18.03.2019;4.480,10;3,13%
15.03.2019;4.344,27;1,07%
14.03.2019;4.298,42;-1,01%
13.03.2019;4.342,33;-0,88%
12.03.2019;4.380,84;0,50%
11.03.2019;4.358,91;2,05%
08.03.2019;4.271,49;-6,35%
07.03.2019;4.561,23;1,58%
06.03.2019;4.490,39;3,24%
05.03.2019;4.349,54;0,75%
04.03.2019;4.316,97;1,28%
01.03.2019;4.262,51;0,76%
28.02.2019;4.230,32;0,22%
27.02.2019;4.221,19;-1,36%
26.02.2019;4.279,59;2,15%
25.02.2019;4.189,34;6,63%
22.02.2019;3.929,03;1,23%
21.02.2019;3.881,27;-0,61%
20.02.2019;3.905,08;0,94%
19.02.2019;3.868,85;-0,31%
18.02.2019;3.880,77;2,50%
15.02.2019;3.786,20;-1,16%
14.02.2019;3.830,75;-0,32%
13.02.2019;3.842,87;2,23%
12.02.2019;3.758,96;0,33%
11.02.2019;3.746,66;2,36%
01.02.2019;3.660,25;2,06%
31.01.2019;3.586,50;-0,81%
30.01.2019;3.615,92;-0,57%
29.01.2019;3.636,65;-0,58%
28.01.2019;3.657,93;-0,75%
25.01.2019;3.685,48;-0,01%
24.01.2019;3.685,91;-0,46%
23.01.2019;3.703,08;-0,01%
22.01.2019;3.703,29;-1,64%
21.01.2019;3.764,91;0,38%
18.01.2019;3.750,72;2,58%
17.01.2019;3.656,22;-0,37%
16.01.2019;3.669,93;-0,29%
15.01.2019;3.680,46;0,47%
14.01.2019;3.663,32;0,66%
11.01.2019;3.639,12;0,93%
10.01.2019;3.605,75;-0,29%
09.01.2019;3.616,21;0,22%
08.01.2019;3.608,15;-0,65%
07.01.2019;3.631,67;1,42%
04.01.2019;3.580,84;2,11%
03.01.2019;3.506,71;0,61%
02.01.2019;3.485,51;-1,19%
28.12.2018;3.527,60;0,36%
27.12.2018;3.514,98;-0,52%
26.12.2018;3.533,23;-0,42%
25.12.2018;3.548,10;-2,11%
24.12.2018;3.624,44;-0,10%
21.12.2018;3.627,92;-1,12%
20.12.2018;3.669,10;-0,12%
19.12.2018;3.673,58;-0,84%
18.12.2018;3.704,79;-0,32%
17.12.2018;3.716,64;0,66%
14.12.2018;3.692,30;-2,20%
13.12.2018;3.775,53;1,05%
12.12.2018;3.736,15;0,07%
11.12.2018;3.733,59;0,31%
10.12.2018;3.722,03;-1,06%
07.12.2018;3.762,01;0,19%
06.12.2018;3.755,02;-1,53%
05.12.2018;3.813,45;-0,08%
04.12.2018;3.816,68;0,66%
03.12.2018;3.791,58;2,52%
30.11.2018;3.698,32;1,11%
29.11.2018;3.657,78;-1,78%
28.11.2018;3.724,13;0,82%
27.11.2018;3.693,94;0,17%
26.11.2018;3.687,49;-1,50%
23.11.2018;3.743,62;-3,65%
22.11.2018;3.885,49;-0,88%
21.11.2018;3.920,09;-0,14%
20.11.2018;3.925,44;-1,87%
19.11.2018;4.000,26;0,56%
16.11.2018;3.977,92;-0,17%
15.11.2018;3.984,86;0,92%
14.11.2018;3.948,59;0,14%
13.11.2018;3.943,13;1,34%
12.11.2018;3.890,83;1,39%
09.11.2018;3.837,39;-1,11%
08.11.2018;3.880,34;-0,89%
07.11.2018;3.915,35;-0,20%
06.11.2018;3.923,31;-0,61%
05.11.2018;3.947,50;-0,68%
02.11.2018;3.974,44;2,86%
01.11.2018;3.864,07;-0,68%
31.10.2018;3.890,62;1,64%
30.10.2018;3.827,74;1,14%
29.10.2018;3.784,45;-1,86%
26.10.2018;3.856,29;0,62%
25.10.2018;3.832,67;-0,03%
24.10.2018;3.833,80;0,84%
23.10.2018;3.801,74;-2,61%
22.10.2018;3.903,59;4,94%
19.10.2018;3.719,93;2,02%
18.10.2018;3.646,26;-3,58%
17.10.2018;3.781,51;0,62%
16.10.2018;3.758,19;-1,92%
15.10.2018;3.831,74;-2,15%
12.10.2018;3.915,89;1,29%
11.10.2018;3.865,90;-6,47%
10.10.2018;4.133,23;-0,61%
09.10.2018;4.158,76;0,98%
08.10.2018;4.118,48;-3,15%
01.10.2018;4.252,43;0,00%
28.09.2018;4.252,43;0,89%
27.09.2018;4.214,82;-0,23%
26.09.2018;4.224,47;0,40%
25.09.2018;4.207,51;-0,62%
21.09.2018;4.233,60;2,75%
20.09.2018;4.120,21;0,61%
19.09.2018;4.095,30;0,61%
18.09.2018;4.070,31;2,95%
17.09.2018;3.953,72;-2,30%
14.09.2018;4.046,85;0,36%
13.09.2018;4.032,46;0,95%
12.09.2018;3.994,43;0,33%
11.09.2018;3.981,37;-1,84%
10.09.2018;4.055,92;-0,91%
07.09.2018;4.093,26;0,51%
06.09.2018;4.072,54;-0,93%
05.09.2018;4.110,58;-2,09%
04.09.2018;4.198,53;0,43%
03.09.2018;4.180,60;-0,26%
31.08.2018;4.191,45;-0,98%
30.08.2018;4.232,97;-1,41%
29.08.2018;4.293,71;-0,94%
28.08.2018;4.334,29;1,06%
27.08.2018;4.288,71;1,23%
24.08.2018;4.236,57;-0,34%
23.08.2018;4.251,15;-0,45%
22.08.2018;4.270,55;-0,91%
21.08.2018;4.309,84;0,67%
20.08.2018;4.281,28;1,96%
17.08.2018;4.198,84;-0,69%
16.08.2018;4.227,88;-1,33%
15.08.2018;4.284,91;-2,53%
14.08.2018;4.396,08;-1,01%
13.08.2018;4.440,83;0,56%
10.08.2018;4.415,91;-0,34%
09.08.2018;4.431,07;1,65%
08.08.2018;4.359,31;-0,82%
07.08.2018;4.395,41;3,10%
06.08.2018;4.263,40;-2,61%
03.08.2018;4.377,67;-1,08%
02.08.2018;4.425,67;-1,69%
01.08.2018;4.501,73;-2,61%
31.07.2018;4.622,42;-0,61%
30.07.2018;4.650,79;0,54%
27.07.2018;4.625,82;0,47%
26.07.2018;4.604,07;-1,23%
25.07.2018;4.661,18;-0,08%
24.07.2018;4.665,10;2,93%
23.07.2018;4.532,34;2,59%
20.07.2018;4.417,92;1,16%
19.07.2018;4.367,41;0,62%
18.07.2018;4.340,62;-0,82%
17.07.2018;4.376,29;-0,24%
16.07.2018;4.386,70;-0,79%
13.07.2018;4.421,73;0,84%
12.07.2018;4.384,87;2,00%
11.07.2018;4.298,72;-1,60%
10.07.2018;4.368,51;1,52%
09.07.2018;4.302,98;2,23%
06.07.2018;4.209,10;0,90%
05.07.2018;4.171,53;-2,54%
04.07.2018;4.280,14;-0,96%
03.07.2018;4.321,65;-0,05%
02.07.2018;4.323,97;-2,75%
29.06.2018;4.446,29;1,93%
28.06.2018;4.362,29;-0,97%
27.06.2018;4.405,23;-1,61%
26.06.2018;4.477,35;-0,66%
25.06.2018;4.507,24;-0,93%
22.06.2018;4.549,63;1,79%
21.06.2018;4.469,51;-1,26%
20.06.2018;4.526,65;0,38%
19.06.2018;4.509,57;-6,37%
18.06.2018;4.816,31;0,00%
15.06.2018;4.816,31;-0,67%
14.06.2018;4.848,96;0,50%
13.06.2018;4.825,00;-1,00%
12.06.2018;4.873,67;0,15%
11.06.2018;4.866,33;0,71%
08.06.2018;4.832,23;-2,09%
07.06.2018;4.935,53;0,74%
06.06.2018;4.899,04;1,04%
05.06.2018;4.848,64;0,69%
04.06.2018;4.815,24;-0,05%
01.06.2018;4.817,66;0,36%
31.05.2018;4.800,25;1,27%
30.05.2018;4.740,20;-4,08%
29.05.2018;4.941,58;0,19%
28.05.2018;4.932,16;-0,93%
25.05.2018;4.978,30;-1,15%
24.05.2018;5.036,37;0,02%
23.05.2018;5.035,31;-2,38%
22.05.2018;5.158,30;-0,41%
21.05.2018;5.179,55;0,47%
18.05.2018;5.155,36;0,65%
17.05.2018;5.122,06;-0,77%
16.05.2018;5.161,99;-0,71%
15.05.2018;5.198,84;0,02%
14.05.2018;5.197,77;0,21%
11.05.2018;5.186,88;1,26%
10.05.2018;5.122,59;0,48%
09.05.2018;5.097,88;-0,60%
08.05.2018;5.128,84;0,17%
07.05.2018;5.120,38;1,87%
04.05.2018;5.026,46;-0,62%
03.05.2018;5.057,66;0,29%
02.05.2018;5.043,26;-0,88%
30.04.2018;5.088,07;0,00%
27.04.2018;5.088,07;0,81%
26.04.2018;5.047,29;-1,94%
25.04.2018;5.147,24;-0,77%
24.04.2018;5.187,15;1,20%
23.04.2018;5.125,62;0,35%
20.04.2018;5.107,69;-1,81%
19.04.2018;5.201,64;2,74%
18.04.2018;5.063,02;1,25%
17.04.2018;5.000,55;-1,56%
16.04.2018;5.079,72;-1,72%
13.04.2018;5.168,61;0,34%
12.04.2018;5.151,08;-1,81%
11.04.2018;5.246,14;-0,05%
10.04.2018;5.248,87;2,97%
09.04.2018;5.097,61;-48,36%
05.04.2018;9.872,18;95,67%
04.04.2018;5.045,44;-1,36%
03.04.2018;5.115,00;-1,67%
02.04.2018;5.201,84;-0,84%
30.03.2018;5.246,01;-0,02%
29.03.2018;5.246,89;1,34%
28.03.2018;5.177,48;-1,66%
27.03.2018;5.264,80;2,19%
26.03.2018;5.151,87;0,66%
23.03.2018;5.117,87;-6,25%
22.03.2018;5.459,11;0,00%
21.03.2018;5.459,34;-1,26%
20.03.2018;5.528,88;-0,43%
19.03.2018;5.552,53;-1,19%
16.03.2018;5.619,46;-1,69%
15.03.2018;5.716,02;-0,27%
14.03.2018;5.731,45;0,81%
13.03.2018;5.685,13;-0,60%
12.03.2018;5.719,39;2,32%
09.03.2018;5.589,74;-0,28%
08.03.2018;5.605,23;-0,19%
07.03.2018;5.616,00;-1,50%
06.03.2018;5.701,44;2,30%
05.03.2018;5.573,37;-0,91%
02.03.2018;5.624,38;-2,00%
01.03.2018;5.739,45;-0,69%
28.02.2018;5.779,26;0,35%
27.02.2018;5.759,35;-2,96%
26.02.2018;5.935,32;0,00%
23.02.2018;5.935,59;1,70%
22.02.2018;5.836,11;2,24%
15.02.2018;5.708,49;0,00%
14.02.2018;5.708,49;2,00%
13.02.2018;5.596,34;0,68%
12.02.2018;5.558,45;2,60%
09.02.2018;5.417,47;-4,89%
08.02.2018;5.696,26;-1,13%
07.02.2018;5.761,31;-0,55%
06.02.2018;5.793,46;-3,92%
05.02.2018;6.029,63;0,04%
02.02.2018;6.027,43;3,76%
01.02.2018;5.808,90;-1,71%
31.01.2018;5.910,26;-0,31%
30.01.2018;5.928,56;-0,72%
29.01.2018;5.971,83;1,44%
26.01.2018;5.887,25;-0,87%
25.01.2018;5.938,80;1,10%
24.01.2018;5.873,95;-0,33%
23.01.2018;5.893,11;0,80%
22.01.2018;5.846,48;1,37%
19.01.2018;5.767,45;0,50%
18.01.2018;5.738,78;1,21%
17.01.2018;5.670,13;-0,42%
16.01.2018;5.693,86;0,13%
15.01.2018;5.686,58;-3,62%
12.01.2018;5.900,30;-0,19%
11.01.2018;5.911,73;-0,62%
10.01.2018;5.948,47;-0,95%
09.01.2018;6.005,41;-0,51%
08.01.2018;6.036,22;2,26%
05.01.2018;5.902,93;-0,89%
04.01.2018;5.955,73;0,68%
03.01.2018;5.915,28;1,27%
02.01.2018;5.841,29;1,65%
