Date,Value,Prev_value
31.12.2022,"11560,33","11560,33"
31.12.2021,"11223,15","11223,15"
31.12.2020,"10358,17","10358,17"
31.12.2019,"10155,51","10155,51"
31.12.2018,"9619,21","9619,21"
