date;usd_to_hkd
08.01.2019;7.835600
09.01.2019;7.839000
10.01.2019;7.837250
11.01.2019;7.838300
14.01.2019;7.839200
15.01.2019;7.842400
16.01.2019;7.843400
17.01.2019;7.842710
18.01.2019;7.843100
21.01.2019;7.843800
22.01.2019;7.845150
23.01.2019;7.846000
24.01.2019;7.844800
25.01.2019;7.846300
28.01.2019;7.845200
29.01.2019;7.845780
30.01.2019;7.845620
31.01.2019;7.842230
01.02.2019;7.846180
04.02.2019;7.845300
05.02.2019;7.845500
06.02.2019;7.845380
07.02.2019;7.846000
08.02.2019;7.846900
11.02.2019;7.846610
12.02.2019;7.847100
13.02.2019;7.848080
14.02.2019;7.848200
15.02.2019;7.847200
18.02.2019;7.847680
19.02.2019;7.847300
20.02.2019;7.848400
21.02.2019;7.848220
22.02.2019;7.847200
25.02.2019;7.847800
26.02.2019;7.848370
27.02.2019;7.848860
28.02.2019;7.848900
01.03.2019;7.849600
04.03.2019;7.848810
05.03.2019;7.849200
06.03.2019;7.850100
07.03.2019;7.849100
08.03.2019;7.849400
11.03.2019;7.849700
12.03.2019;7.849500
13.03.2019;7.849700
14.03.2019;7.849190
15.03.2019;7.849600
18.03.2019;7.849500
19.03.2019;7.849500
20.03.2019;7.849700
21.03.2019;7.848700
22.03.2019;7.847500
25.03.2019;7.847230
26.03.2019;7.847300
27.03.2019;7.849000
28.03.2019;7.849300
29.03.2019;7.849700
01.04.2019;7.849570
02.04.2019;7.849500
03.04.2019;7.849280
04.04.2019;7.849000
05.04.2019;7.848800
08.04.2019;7.849150
09.04.2019;7.846890
10.04.2019;7.841300
11.04.2019;7.836110
12.04.2019;7.843170
15.04.2019;7.842000
16.04.2019;7.840130
17.04.2019;7.843500
18.04.2019;7.845100
19.04.2019;7.845200
22.04.2019;7.843700
23.04.2019;7.844500
24.04.2019;7.842040
25.04.2019;7.842530
26.04.2019;7.843700
29.04.2019;7.843400
30.04.2019;7.843200
01.05.2019;7.844410
02.05.2019;7.844610
03.05.2019;7.843400
06.05.2019;7.844500
07.05.2019;7.846100
08.05.2019;7.848300
09.05.2019;7.848100
10.05.2019;7.848000
13.05.2019;7.847660
14.05.2019;7.848900
15.05.2019;7.849230
16.05.2019;7.849300
17.05.2019;7.849200
20.05.2019;7.849200
21.05.2019;7.849390
22.05.2019;null
23.05.2019;7.849000
24.05.2019;7.848550
27.05.2019;7.848900
28.05.2019;7.849300
29.05.2019;7.849000
30.05.2019;7.849040
31.05.2019;7.847900
03.06.2019;7.837450
04.06.2019;7.836100
05.06.2019;7.840900
06.06.2019;7.840420
07.06.2019;7.841500
10.06.2019;7.841850
11.06.2019;7.842600
12.06.2019;7.835610
13.06.2019;7.823930
14.06.2019;7.828830
17.06.2019;7.828840
18.06.2019;7.833400
19.06.2019;7.831310
20.06.2019;7.823100
21.06.2019;7.813900
24.06.2019;7.813120
25.06.2019;7.808700
26.06.2019;7.810800
27.06.2019;7.810800
28.06.2019;7.815400
01.07.2019;7.811930
02.07.2019;7.812700
03.07.2019;7.799880
04.07.2019;7.797300
05.07.2019;7.785500
08.07.2019;7.795640
09.07.2019;7.798800
10.07.2019;7.808600
11.07.2019;7.816130
12.07.2019;7.821470
15.07.2019;7.825060
16.07.2019;7.826560
17.07.2019;7.817220
18.07.2019;7.813990
19.07.2019;7.814700
22.07.2019;7.807640
23.07.2019;7.810160
24.07.2019;7.810840
25.07.2019;7.813900
26.07.2019;7.816090
29.07.2019;7.818000
30.07.2019;7.821400
31.07.2019;7.823400
01.08.2019;7.827200
02.08.2019;7.825300
05.08.2019;7.831100
06.08.2019;7.843560
07.08.2019;7.837220
08.08.2019;7.840000
09.08.2019;7.840870
12.08.2019;7.841700
13.08.2019;7.844700
14.08.2019;7.845300
15.08.2019;7.845310
16.08.2019;7.842400
19.08.2019;7.843550
20.08.2019;7.843490
21.08.2019;7.842200
22.08.2019;7.843000
23.08.2019;7.839230
26.08.2019;7.842430
27.08.2019;7.845100
28.08.2019;7.846440
29.08.2019;7.843200
30.08.2019;7.845420
02.09.2019;7.842700
03.09.2019;7.842000
04.09.2019;7.843900
05.09.2019;7.840700
06.09.2019;7.837800
09.09.2019;7.840000
10.09.2019;7.838550
11.09.2019;7.840100
12.09.2019;7.837800
13.09.2019;7.825200
16.09.2019;7.823100
17.09.2019;7.818910
18.09.2019;7.822570
19.09.2019;7.828880
20.09.2019;7.830640
23.09.2019;7.839300
24.09.2019;7.838500
25.09.2019;7.840500
26.09.2019;7.838600
27.09.2019;7.838700
30.09.2019;7.840600
01.10.2019;7.838400
02.10.2019;7.842200
03.10.2019;7.843230
04.10.2019;7.841600
07.10.2019;7.841700
08.10.2019;7.843050
09.10.2019;7.844400
10.10.2019;7.845080
11.10.2019;7.842260
14.10.2019;7.843220
15.10.2019;7.844700
16.10.2019;7.845200
17.10.2019;7.844700
18.10.2019;7.843760
21.10.2019;7.842500
22.10.2019;7.841990
23.10.2019;7.842400
24.10.2019;7.841400
25.10.2019;7.838300
28.10.2019;7.837700
29.10.2019;7.839440
30.10.2019;7.839500
31.10.2019;7.839400
01.11.2019;7.836700
04.11.2019;7.837000
05.11.2019;7.836950
06.11.2019;7.832900
07.11.2019;7.826440
08.11.2019;7.825400
11.11.2019;7.828410
12.11.2019;7.825660
13.11.2019;7.828800
14.11.2019;7.828000
15.11.2019;7.827400
18.11.2019;7.826160
19.11.2019;7.827800
20.11.2019;7.827700
21.11.2019;7.826080
22.11.2019;7.820010
25.11.2019;7.825100
