date;rual_price;rual_volume;rual_price_change
31.03.2023;40,4;12,41M;-1,32%
30.03.2023;40,94;7,55M;-0,22%
29.03.2023;41,03;6,19M;-0,21%
28.03.2023;41,115;10,55M;-0,68%
27.03.2023;41,395;8,22M;-0,01%
24.03.2023;41,4;4,88M;0,32%
23.03.2023;41,27;10,16M;1,49%
22.03.2023;40,665;4,67M;0,23%
21.03.2023;40,57;8,05M;-0,83%
20.03.2023;40,91;10,89M;2,20%
17.03.2023;40,03;8,28M;0,38%
16.03.2023;39,88;8,75M;-0,60%
15.03.2023;40,12;8,65M;-2,17%
14.03.2023;41,01;3,99M;-0,21%
13.03.2023;41,095;11,53M;-0,62%
10.03.2023;41,35;3,87M;0,10%
09.03.2023;41,31;5,41M;-0,27%
07.03.2023;41,42;4,36M;0,18%
06.03.2023;41,345;4,93M;0,12%
03.03.2023;41,295;6,76M;1,40%
02.03.2023;40,725;13,55M;-1,08%
01.03.2023;41,17;15,51M;3,53%
28.02.2023;39,765;7,51M;0,33%
27.02.2023;39,635;10,21M;0,65%
24.02.2023;39,38;10,97M;-1,67%
22.02.2023;40,05;8,27M;0,64%
21.02.2023;39,795;13,43M;0,64%
20.02.2023;39,54;16,85M;2,14%
17.02.2023;38,71;13,75M;-0,81%
16.02.2023;39,025;12,38M;2,08%
15.02.2023;38,23;26,33M;-5,07%
14.02.2023;40,27;8,32M;-2,07%
13.02.2023;41,12;6,06M;-0,75%
10.02.2023;41,43;4,61M;0,04%
09.02.2023;41,415;9,71M;0,25%
08.02.2023;41,31;31,32M;0,72%
07.02.2023;41,015;28,50M;-1,06%
06.02.2023;41,455;43,38M;-1,85%
03.02.2023;42,235;9,05M;-0,78%
02.02.2023;42,565;9,65M;-0,20%
01.02.2023;42,65;12,74M;0,35%
31.01.2023;42,5;8,85M;1,21%
30.01.2023;41,99;10,22M;-0,30%
27.01.2023;42,115;18,18M;1,80%
26.01.2023;41,37;6,42M;0,24%
25.01.2023;41,27;6,91M;0,22%
24.01.2023;41,18;13,73M;0,27%
23.01.2023;41,07;9,34M;0,43%
20.01.2023;40,895;5,95M;1,58%
19.01.2023;40,26;13,32M;-2,48%
18.01.2023;41,285;9,81M;0,06%
17.01.2023;41,26;15,15M;-0,51%
16.01.2023;41,47;9,40M;1,72%
13.01.2023;40,77;3,79M;0,12%
12.01.2023;40,72;3,34M;-0,37%
11.01.2023;40,87;5,85M;0,80%
10.01.2023;40,545;3,87M;-0,37%
09.01.2023;40,695;4,07M;0,18%
06.01.2023;40,62;1,35M;0,14%
05.01.2023;40,565;1,94M;-0,62%
04.01.2023;40,82;2,62M;-0,20%
03.01.2023;40,9;4,05M;1,91%
30.12.2022;40,135;3,97M;-0,88%
29.12.2022;40,49;2,54M;0,47%
28.12.2022;40,3;5,98M;-0,44%
27.12.2022;40,48;8,36M;1,09%
26.12.2022;40,045;4,76M;0,11%
23.12.2022;40;5,71M;0,55%
22.12.2022;39,78;9,98M;-1,45%
21.12.2022;40,365;20,75M;-1,90%
20.12.2022;41,145;25,18M;4,18%
19.12.2022;39,495;15,40M;3,85%
16.12.2022;38,03;3,89M;0,48%
15.12.2022;37,85;14,29M;-3,33%
14.12.2022;39,155;4,06M;-1,51%
13.12.2022;39,755;6,54M;0,94%
12.12.2022;39,385;6,15M;-0,34%
09.12.2022;39,52;5,77M;0,76%
08.12.2022;39,22;4,53M;0,23%
07.12.2022;39,13;5,49M;0,08%
06.12.2022;39,1;6,96M;-1,62%
05.12.2022;39,745;15,06M;1,98%
02.12.2022;38,975;12,07M;-1,47%
01.12.2022;39,555;14,88M;2,28%
30.11.2022;38,675;11,48M;1,78%
29.11.2022;38;9,52M;1,25%
28.11.2022;37,53;5,94M;-0,48%
25.11.2022;37,71;6,92M;-1,51%
24.11.2022;38,29;6,60M;-0,43%
23.11.2022;38,455;10,31M;-0,58%
22.11.2022;38,68;8,07M;2,57%
21.11.2022;37,71;8,96M;-2,10%
18.11.2022;38,52;6,77M;-0,13%
17.11.2022;38,57;10,02M;-1,54%
16.11.2022;39,175;12,81M;1,81%
15.11.2022;38,48;27,09M;-4,33%
14.11.2022;40,22;21,28M;2,11%
11.11.2022;39,39;18,94M;0,24%
10.11.2022;39,295;28,45M;5,07%
09.11.2022;37,4;24,72M;0,58%
08.11.2022;37,185;12,69M;0,54%
07.11.2022;36,985;10,09M;3,53%
03.11.2022;35,725;12,93M;0,98%
02.11.2022;35,38;10,01M;-3,65%
01.11.2022;36,72;10,23M;-1,06%
31.10.2022;37,115;13,99M;-0,11%
28.10.2022;37,155;21,36M;-0,01%
27.10.2022;37,16;31,53M;5,87%
26.10.2022;35,1;14,37M;-0,17%
25.10.2022;35,16;24,52M;0,74%
24.10.2022;34,9;29,72M;6,66%
21.10.2022;32,72;16,24M;0,72%
20.10.2022;32,485;10,66M;-0,34%
19.10.2022;32,595;23,37M;-3,71%
18.10.2022;33,85;22,82M;-1,11%
17.10.2022;34,23;15,15M;1,48%
14.10.2022;33,73;19,53M;-4,09%
13.10.2022;35,17;14,87M;2,28%
12.10.2022;34,385;22,97M;-3,40%
11.10.2022;35,595;4,80M;4,19%
10.10.2022;34,165;8,19M;2,54%
07.10.2022;33,32;7,50M;-5,13%
06.10.2022;35,12;6,47M;0,82%
05.10.2022;34,835;8,04M;-0,77%
04.10.2022;35,105;9,73M;-1,79%
03.10.2022;35,745;8,32M;5,65%
30.09.2022;33,835;14,83M;2,10%
29.09.2022;33,14;8,62M;-3,09%
28.09.2022;34,195;10,31M;-1,64%
27.09.2022;34,765;16,20M;2,86%
26.09.2022;33,8;20,12M;-10,18%
23.09.2022;37,63;10,83M;-6,87%
22.09.2022;40,405;6,31M;-0,58%
21.09.2022;40,64;12,83M;-5,92%
20.09.2022;43,195;17,99M;-7,73%
19.09.2022;46,815;5,96M;-1,86%
16.09.2022;47,7;5,94M;-0,46%
15.09.2022;47,92;5,43M;0,04%
14.09.2022;47,9;6,17M;-1,94%
13.09.2022;48,85;6,00M;-1,87%
12.09.2022;49,78;3,94M;1,19%
09.09.2022;49,195;4,00M;1,31%
08.09.2022;48,56;4,22M;-0,60%
07.09.2022;48,855;5,87M;0,89%
06.09.2022;48,425;14,18M;-2,39%
05.09.2022;49,61;7,02M;0,22%
02.09.2022;49,5;7,43M;1,64%
01.09.2022;48,7;4,00M;-0,20%
31.08.2022;48,8;7,96M;-0,09%
30.08.2022;48,845;20,34M;-0,72%
29.08.2022;49,2;6,46M;1,31%
26.08.2022;48,565;3,98M;-0,48%
25.08.2022;48,8;11,74M;4,71%
24.08.2022;46,605;3,90M;-0,20%
23.08.2022;46,7;4,04M;0,65%
