date;rual_price;rual_volume;rual_price_change
18.03.2021;45,275;31,37M;0,82%
17.03.2021;44,905;23,96M;0,50%
16.03.2021;44,68;26,70M;-2,47%
15.03.2021;45,81;39,01M;4,14%
12.03.2021;43,99;28,10M;0,50%
11.03.2021;43,77;34,51M;5,94%
10.03.2021;41,315;40,62M;3,65%
09.03.2021;39,86;18,68M;0,66%
05.03.2021;39,6;13,32M;1,28%
04.03.2021;39,1;16,77M;-4,10%
03.03.2021;40,77;17,40M;2,50%
02.03.2021;39,775;23,86M;0,98%
01.03.2021;39,39;23,76M;1,18%
26.02.2021;38,93;35,80M;-2,75%
25.02.2021;40,03;31,86M;0,64%
24.02.2021;39,775;35,83M;-3,81%
22.02.2021;41,35;20,63M;3,16%
20.02.2021;40,085;10,44M;-0,71%
19.02.2021;40,37;31,62M;3,39%
18.02.2021;39,045;30,31M;1,46%
17.02.2021;38,485;54,52M;2,64%
16.02.2021;37,495;6,67M;0,21%
15.02.2021;37,415;9,39M;1,81%
12.02.2021;36,75;11,62M;-0,18%
11.02.2021;36,815;12,34M;-0,23%
10.02.2021;36,9;14,13M;-1,82%
09.02.2021;37,585;22,23M;2,97%
08.02.2021;36,5;22,61M;3,15%
05.02.2021;35,385;15,48M;0,24%
04.02.2021;35,3;16,35M;-1,37%
03.02.2021;35,79;9,85M;1,56%
02.02.2021;35,24;15,15M;0,01%
01.02.2021;35,235;7,64M;1,06%
29.01.2021;34,865;12,92M;-1,93%
28.01.2021;35,55;12,97M;-0,04%
27.01.2021;35,565;15,39M;-1,36%
26.01.2021;36,055;10,89M;-0,62%
25.01.2021;36,28;12,03M;-0,43%
22.01.2021;36,435;13,83M;-0,15%
21.01.2021;36,49;19,42M;-2,87%
20.01.2021;37,57;13,27M;1,04%
19.01.2021;37,185;9,26M;-0,92%
18.01.2021;37,53;6,75M;-0,01%
15.01.2021;37,535;14,06M;-1,60%
14.01.2021;38,145;16,73M;0,83%
13.01.2021;37,83;12,18M;-1,82%
12.01.2021;38,53;26,72M;-1,72%
11.01.2021;39,205;45,97M;3,09%
08.01.2021;38,03;22,30M;3,03%
06.01.2021;36,91;17,55M;-0,90%
05.01.2021;37,245;22,82M;3,06%
04.01.2021;36,14;21,95M;2,03%
30.12.2020;35,42;6,90M;0,07%
29.12.2020;35,395;12,86M;-1,03%
28.12.2020;35,765;20,73M;2,86%
25.12.2020;34,77;6,94M;0,32%
24.12.2020;34,66;15,07M;-0,94%
23.12.2020;34,99;19,26M;-1,91%
22.12.2020;35,67;26,45M;0,82%
21.12.2020;35,38;41,05M;-3,83%
18.12.2020;36,79;33,18M;-3,32%
17.12.2020;38,055;74,64M;-4,49%
16.12.2020;39,845;8,63M;-1,26%
15.12.2020;40,355;8,17M;1,39%
14.12.2020;39,8;9,97M;0,20%
11.12.2020;39,72;11,48M;-0,33%
10.12.2020;39,85;11,62M;2,65%
09.12.2020;38,82;9,57M;-2,35%
08.12.2020;39,755;11,54M;-0,89%
07.12.2020;40,11;15,93M;0,80%
04.12.2020;39,79;10,42M;1,49%
03.12.2020;39,205;12,47M;-1,03%
02.12.2020;39,615;16,14M;2,34%
01.12.2020;38,71;15,81M;2,99%
30.11.2020;37,585;11,61M;2,58%
27.11.2020;36,64;9,67M;0,37%
26.11.2020;36,505;11,82M;-0,52%
25.11.2020;36,695;12,50M;0,00%
24.11.2020;36,695;11,51M;0,27%
23.11.2020;36,595;12,80M;0,84%
20.11.2020;36,29;12,37M;0,85%
19.11.2020;35,985;29,72M;4,67%
18.11.2020;34,38;22,61M;1,67%
17.11.2020;33,815;10,91M;0,12%
16.11.2020;33,775;11,96M;2,27%
13.11.2020;33,025;11,31M;2,21%
12.11.2020;32,31;7,27M;-0,02%
11.11.2020;32,315;11,37M;-0,25%
10.11.2020;32,395;11,29M;0,08%
09.11.2020;32,37;29,45M;3,01%
06.11.2020;31,425;9,60M;-0,33%
05.11.2020;31,53;12,62M;-0,52%
03.11.2020;31,695;4,62M;1,64%
02.11.2020;31,185;7,18M;2,57%
30.10.2020;30,405;4,24M;-1,33%
29.10.2020;30,815;6,17M;1,68%
28.10.2020;30,305;9,90M;-4,34%
27.10.2020;31,68;5,63M;-2,57%
26.10.2020;32,515;3,75M;-0,97%
23.10.2020;32,835;3,41M;-0,44%
22.10.2020;32,98;4,00M;0,92%
21.10.2020;32,68;7,82M;-1,96%
20.10.2020;33,335;10,53M;0,11%
19.10.2020;33,3;13,50M;2,86%
16.10.2020;32,375;3,39M;-0,26%
15.10.2020;32,46;4,46M;-2,43%
14.10.2020;33,27;6,47M;1,40%
13.10.2020;32,81;7,32M;1,20%
12.10.2020;32,42;8,08M;1,31%
09.10.2020;32;6,91M;1,07%
08.10.2020;31,66;4,08M;2,29%
07.10.2020;30,95;2,61M;-0,85%
06.10.2020;31,215;2,35M;-0,27%
05.10.2020;31,3;4,96M;0,97%
02.10.2020;31;5,89M;-0,51%
01.10.2020;31,16;9,98M;-0,76%
30.09.2020;31,4;6,33M;-2,45%
29.09.2020;32,19;7,22M;-1,56%
28.09.2020;32,7;12,40M;0,18%
21.09.2020;32,64;17,21M;-2,55%
18.09.2020;33,495;47,81M;3,17%
17.09.2020;32,465;12,58M;-0,31%
16.09.2020;32,565;15,58M;-2,50%
15.09.2020;33,4;17,30M;2,08%
14.09.2020;32,72;7,84M;2,11%
11.09.2020;32,045;6,53M;0,45%
10.09.2020;31,9;7,74M;2,11%
09.09.2020;31,24;6,49M;-0,19%
08.09.2020;31,3;6,80M;-1,65%
07.09.2020;31,825;5,96M;0,87%
04.09.2020;31,55;7,47M;1,68%
03.09.2020;31,03;8,64M;-0,91%
02.09.2020;31,315;10,66M;-0,81%
01.09.2020;31,57;7,11M;2,93%
31.08.2020;30,67;4,68M;-1,11%
28.08.2020;31,015;6,32M;-2,01%
27.08.2020;31,65;5,90M;-1,31%
26.08.2020;32,07;5,05M;-0,54%
25.08.2020;32,245;9,53M;0,31%
24.08.2020;32,145;16,16M;3,34%
21.08.2020;31,105;10,15M;0,48%
20.08.2020;30,955;7,77M;-1,01%
19.08.2020;31,27;14,82M;2,56%
18.08.2020;30,49;6,38M;-0,47%
17.08.2020;30,635;6,58M;-0,37%
14.08.2020;30,75;13,00M;-0,28%
13.08.2020;30,835;22,67M;0,46%
12.08.2020;30,695;13,81M;0,46%
11.08.2020;30,555;11,18M;-1,00%
10.08.2020;30,865;9,00M;1,76%
07.08.2020;30,33;9,17M;-0,03%
06.08.2020;30,34;18,89M;-0,02%
05.08.2020;30,345;32,76M;3,60%
04.08.2020;29,29;13,07M;1,54%
03.08.2020;28,845;18,02M;3,02%
31.07.2020;28;7,85M;-0,12%
30.07.2020;28,035;12,56M;-0,59%
29.07.2020;28,2;17,55M;1,62%
28.07.2020;27,75;16,48M;2,85%
27.07.2020;26,98;13,16M;1,58%
24.07.2020;26,56;11,13M;-1,08%
23.07.2020;26,85;11,60M;2,34%
22.07.2020;26,235;8,97M;0,88%
21.07.2020;26,005;18,17M;0,25%
20.07.2020;25,94;5,04M;0,14%
17.07.2020;25,905;4,87M;-0,37%
16.07.2020;26;4,49M;0,78%
15.07.2020;25,8;9,34M;1,57%
14.07.2020;25,4;14,09M;-3,09%
13.07.2020;26,21;3,87M;-0,89%
10.07.2020;26,445;4,39M;-0,23%
09.07.2020;26,505;11,23M;-1,65%
08.07.2020;26,95;8,36M;0,96%
07.07.2020;26,695;11,38M;0,60%
06.07.2020;26,535;11,81M;-0,43%
03.07.2020;26,65;4,51M;1,91%
02.07.2020;26,15;5,18M;-0,49%
30.06.2020;26,28;4,43M;-0,61%
29.06.2020;26,44;4,40M;0,23%
26.06.2020;26,38;4,80M;0,53%
25.06.2020;26,24;7,55M;-1,17%
23.06.2020;26,55;5,75M;0,19%
22.06.2020;26,5;6,12M;-1,78%
19.06.2020;26,98;4,02M;0,62%
18.06.2020;26,815;5,81M;-0,26%
17.06.2020;26,885;6,45M;-1,34%
16.06.2020;27,25;6,14M;1,74%
15.06.2020;26,785;5,57M;0,06%
11.06.2020;26,77;22,30M;-2,74%
10.06.2020;27,525;7,21M;-0,99%
09.06.2020;27,8;6,92M;0,18%
08.06.2020;27,75;10,04M;0,36%
05.06.2020;27,65;16,46M;2,71%
04.06.2020;26,92;33,37M;-3,86%
03.06.2020;28;17,33M;-0,74%
02.06.2020;28,21;9,11M;0,41%
01.06.2020;28,095;8,73M;1,02%
29.05.2020;27,81;8,91M;-1,73%
28.05.2020;28,3;10,33M;2,18%
27.05.2020;27,695;21,97M;0,97%
26.05.2020;27,43;20,54M;2,62%
25.05.2020;26,73;7,39M;2,02%
22.05.2020;26,2;8,80M;-0,13%
21.05.2020;26,235;16,83M;-0,11%
20.05.2020;26,265;17,92M;1,80%
19.05.2020;25,8;7,95M;0,27%
18.05.2020;25,73;7,85M;2,02%
15.05.2020;25,22;6,00M;-0,71%
14.05.2020;25,4;8,24M;0,20%
13.05.2020;25,35;7,71M;-1,71%
12.05.2020;25,79;9,56M;-0,04%
08.05.2020;25,8;5,24M;-0,77%
07.05.2020;26;5,76M;-0,65%
06.05.2020;26,17;5,98M;-0,98%
05.05.2020;26,43;10,40M;0,95%
04.05.2020;26,18;6,51M;-0,72%
30.04.2020;26,37;17,62M;-0,53%
29.04.2020;26,51;16,71M;1,38%
28.04.2020;26,15;14,89M;0,38%
27.04.2020;26,05;9,55M;1,32%
24.04.2020;25,71;11,12M;-1,85%
23.04.2020;26,195;14,81M;1,57%
22.04.2020;25,79;15,34M;1,16%
21.04.2020;25,495;15,75M;-0,82%
20.04.2020;25,705;12,39M;0,41%
17.04.2020;25,6;13,00M;-0,58%
16.04.2020;25,75;14,47M;3,10%
15.04.2020;24,975;15,85M;-3,96%
14.04.2020;26,005;30,38M;2,58%
13.04.2020;25,35;8,33M;-2,07%
10.04.2020;25,885;6,93M;-0,54%
09.04.2020;26,025;20,50M;1,07%
08.04.2020;25,75;15,69M;-1,15%
07.04.2020;26,05;27,98M;1,15%
06.04.2020;25,755;22,57M;3,73%
03.04.2020;24,83;9,92M;-0,50%
02.04.2020;24,955;16,88M;0,81%
01.04.2020;24,755;11,06M;-1,57%
31.03.2020;25,15;16,75M;3,09%
30.03.2020;24,395;12,12M;-0,18%
27.03.2020;24,44;10,26M;-4,19%
26.03.2020;25,51;13,84M;1,73%
25.03.2020;25,075;34,87M;2,98%
24.03.2020;24,35;38,96M;12,76%
23.03.2020;21,595;13,49M;-3,59%
20.03.2020;22,4;33,92M;6,14%
19.03.2020;21,105;27,07M;3,41%
18.03.2020;20,41;17,43M;-11,26%
17.03.2020;23;14,27M;-3,30%
16.03.2020;23,785;22,44M;-2,52%
13.03.2020;24,4;32,37M;-2,40%
12.03.2020;25;28,56M;-15,68%
11.03.2020;29,65;14,44M;-4,35%
10.03.2020;31;29,13M;-1,59%
06.03.2020;31,5;16,66M;-2,48%
05.03.2020;32,3;9,98M;1,25%
04.03.2020;31,9;9,42M;1,30%
03.03.2020;31,49;18,21M;3,57%
02.03.2020;30,405;23,32M;-3,09%
28.02.2020;31,375;39,68M;-3,76%
27.02.2020;32,6;15,17M;-6,78%
26.02.2020;34,97;18,42M;1,66%
25.02.2020;34,4;33,95M;-5,75%
21.02.2020;36,5;8,83M;-1,35%
20.02.2020;37;17,87M;0,14%
19.02.2020;36,95;22,76M;3,21%
18.02.2020;35,8;10,80M;-1,84%
17.02.2020;36,47;10,57M;3,23%
14.02.2020;35,33;8,83M;-0,45%
13.02.2020;35,49;6,73M;0,24%
12.02.2020;35,405;24,91M;0,45%
11.02.2020;35,245;10,55M;0,60%
10.02.2020;35,035;8,58M;-1,63%
07.02.2020;35,615;15,85M;-0,54%
06.02.2020;35,81;9,76M;-2,33%
05.02.2020;36,665;17,91M;0,81%
04.02.2020;36,37;19,01M;4,06%
03.02.2020;34,95;18,46M;0,45%
31.01.2020;34,795;10,83M;-1,43%
30.01.2020;35,3;10,84M;0,28%
29.01.2020;35,2;22,43M;3,07%
28.01.2020;34,15;22,28M;-0,09%
27.01.2020;34,18;31,99M;-2,34%
24.01.2020;35;25,51M;-0,57%
23.01.2020;35,2;41,48M;-0,94%
22.01.2020;35,535;41,54M;-6,12%
21.01.2020;37,85;31,68M;-3,49%
20.01.2020;39,22;51,47M;6,00%
17.01.2020;37;61,28M;10,20%
16.01.2020;33,575;10,78M;2,36%
15.01.2020;32,8;7,07M;-0,09%
14.01.2020;32,83;27,09M;1,96%
13.01.2020;32,2;9,15M;1,58%
10.01.2020;31,7;13,05M;2,92%
09.01.2020;30,8;7,54M;2,14%
08.01.2020;30,155;4,86M;-0,35%
06.01.2020;30,26;3,97M;-1,13%
03.01.2020;30,605;3,22M;-0,63%
30.12.2019;30,8;6,37M;0,33%
27.12.2019;30,7;7,33M;1,49%
26.12.2019;30,25;2,96M;0,87%
25.12.2019;29,99;3,96M;-0,35%
24.12.2019;30,095;8,58M;-0,97%
23.12.2019;30,39;6,07M;-1,01%
20.12.2019;30,7;13,71M;2,95%
19.12.2019;29,82;6,99M;0,05%
18.12.2019;29,805;7,19M;1,07%
17.12.2019;29,49;8,34M;0,55%
16.12.2019;29,33;10,48M;1,84%
13.12.2019;28,8;5,85M;1,09%
12.12.2019;28,49;19,89M;2,28%
11.12.2019;27,855;4,56M;-0,13%
10.12.2019;27,89;2,19M;0,14%
09.12.2019;27,85;3,42M;0,25%
06.12.2019;27,78;1,36M;0,04%
05.12.2019;27,77;2,86M;0,29%
04.12.2019;27,69;5,52M;1,43%
03.12.2019;27,3;5,32M;-2,19%
02.12.2019;27,91;3,73M;0,00%
29.11.2019;27,91;6,13M;-1,38%
28.11.2019;28,3;2,02M;0,35%
27.11.2019;28,2;1,78M;0,59%
26.11.2019;28,035;3,47M;-1,27%
25.11.2019;28,395;2,25M;-0,18%
22.11.2019;28,445;2,80M;0,16%
21.11.2019;28,4;2,45M;0,41%
20.11.2019;28,285;3,22M;-0,04%
19.11.2019;28,295;2,54M;0,30%
18.11.2019;28,21;3,39M;-1,19%
15.11.2019;28,55;3,61M;-1,07%
14.11.2019;28,86;3,36M;-0,48%
13.11.2019;29;5,46M;0,00%
12.11.2019;29;9,95M;0,50%
11.11.2019;28,855;5,25M;0,12%
08.11.2019;28,82;21,17M;-3,43%
07.11.2019;29,845;9,09M;1,17%
06.11.2019;29,5;5,00M;0,34%
05.11.2019;29,4;7,09M;1,47%
01.11.2019;28,975;6,20M;0,59%
31.10.2019;28,805;8,51M;-0,50%
30.10.2019;28,95;7,94M;1,94%
29.10.2019;28,4;4,73M;0,55%
28.10.2019;28,245;11,29M;2,49%
25.10.2019;27,56;6,14M;0,25%
24.10.2019;27,49;5,33M;0,70%
23.10.2019;27,3;3,21M;0,53%
22.10.2019;27,155;3,59M;0,87%
21.10.2019;26,92;3,84M;0,77%
18.10.2019;26,715;10,92M;-1,38%
17.10.2019;27,09;3,26M;-0,40%
16.10.2019;27,2;1,70M;0,18%
15.10.2019;27,15;2,72M;-1,18%
14.10.2019;27,475;3,10M;0,24%
11.10.2019;27,41;2,25M;-1,01%
10.10.2019;27,69;4,94M;1,95%
09.10.2019;27,16;1,71M;0,59%
08.10.2019;27;3,05M;-1,66%
07.10.2019;27,455;1,71M;-0,53%
04.10.2019;27,6;2,94M;-1,43%
03.10.2019;28;5,04M;-0,43%
02.10.2019;28,12;3,64M;-1,54%
01.10.2019;28,56;4,57M;-0,83%
30.09.2019;28,8;3,57M;0,35%
27.09.2019;28,7;6,24M;0,38%
26.09.2019;28,59;6,06M;-0,03%
25.09.2019;28,6;6,27M;0,35%
24.09.2019;28,5;8,60M;-0,38%
23.09.2019;28,61;5,46M;0,30%
20.09.2019;28,525;11,33M;1,17%
19.09.2019;28,195;9,17M;-2,44%
18.09.2019;28,9;20,61M;4,29%
17.09.2019;27,71;3,17M;-1,35%
16.09.2019;28,09;6,96M;0,68%
13.09.2019;27,9;3,00M;0,13%
12.09.2019;27,865;5,50M;-0,48%
11.09.2019;28;6,29M;2,15%
10.09.2019;27,41;3,35M;0,05%
09.09.2019;27,395;4,04M;0,20%
06.09.2019;27,34;4,22M;-0,42%
05.09.2019;27,455;4,09M;0,16%
04.09.2019;27,41;7,76M;1,57%
03.09.2019;26,985;4,63M;-1,21%
02.09.2019;27,315;9,18M;2,11%
30.08.2019;26,75;8,33M;2,29%
29.08.2019;26,15;4,63M;0,19%
28.08.2019;26,1;1,61M;0,23%
27.08.2019;26,04;1,92M;-0,12%
26.08.2019;26,07;4,59M;-1,31%
23.08.2019;26,415;2,30M;0,46%
22.08.2019;26,295;1,86M;-0,85%
21.08.2019;26,52;4,77M;1,51%
20.08.2019;26,125;3,48M;1,61%
19.08.2019;25,71;3,22M;1,18%
16.08.2019;25,41;3,42M;0,08%
15.08.2019;25,39;5,64M;-1,38%
14.08.2019;25,745;9,43M;-3,25%
13.08.2019;26,61;12,98M;-1,08%
12.08.2019;26,9;18,72M;-1,47%
09.08.2019;27,3;45,48M;-6,02%
08.08.2019;29,05;9,52M;1,52%
07.08.2019;28,615;6,89M;0,35%
06.08.2019;28,515;6,69M;0,87%
05.08.2019;28,27;11,26M;-2,35%
02.08.2019;28,95;11,71M;-0,58%
01.08.2019;29,12;6,03M;0,64%
31.07.2019;28,935;5,81M;-1,58%
30.07.2019;29,4;9,10M;0,10%
29.07.2019;29,37;7,91M;0,93%
26.07.2019;29,1;8,99M;0,34%
25.07.2019;29;9,92M;2,02%
24.07.2019;28,425;8,78M;2,10%
23.07.2019;27,84;3,87M;-0,57%
22.07.2019;28;6,37M;0,30%
19.07.2019;27,915;14,68M;3,31%
18.07.2019;27,02;2,89M;0,92%
17.07.2019;26,775;2,10M;-0,15%
16.07.2019;26,815;6,26M;0,36%
15.07.2019;26,72;1,98M;-0,45%
12.07.2019;26,84;5,09M;-0,50%
11.07.2019;26,975;3,35M;-1,17%
10.07.2019;27,295;3,48M;1,09%
09.07.2019;27;5,47M;-0,88%
08.07.2019;27,24;6,22M;0,80%
05.07.2019;27,025;12,29M;2,00%
04.07.2019;26,495;4,18M;1,83%
03.07.2019;26,02;4,82M;-0,17%
02.07.2019;26,065;2,36M;-0,50%
01.07.2019;26,195;5,03M;0,36%
28.06.2019;26,1;4,04M;0,17%
27.06.2019;26,055;4,32M;0,50%
26.06.2019;25,925;3,69M;1,75%
25.06.2019;25,48;4,70M;-1,20%
24.06.2019;25,79;2,42M;-0,81%
21.06.2019;26;8,79M;-1,91%
20.06.2019;26,505;13,87M;2,53%
19.06.2019;25,85;7,39M;1,37%
18.06.2019;25,5;5,10M;0,99%
17.06.2019;25,25;4,13M;0,36%
14.06.2019;25,16;5,75M;-0,20%
13.06.2019;25,21;6,10M;-0,71%
11.06.2019;25,39;22,34M;5,13%
10.06.2019;24,15;2,71M;0,58%
07.06.2019;24,01;2,91M;0,02%
06.06.2019;24,005;6,78M;1,27%
05.06.2019;23,705;3,46M;-0,77%
04.06.2019;23,89;6,63M;1,81%
03.06.2019;23,465;6,81M;-0,99%
31.05.2019;23,7;4,92M;-2,01%
30.05.2019;24,185;2,17M;-0,19%
29.05.2019;24,23;5,97M;-0,59%
28.05.2019;24,375;8,48M;0,72%
27.05.2019;24,2;22,95M;0,41%
24.05.2019;24,1;40,36M;5,22%
23.05.2019;22,905;16,62M;-3,74%
22.05.2019;23,795;5,06M;-0,29%
21.05.2019;23,865;8,54M;-0,89%
20.05.2019;24,08;7,64M;-2,25%
17.05.2019;24,635;3,34M;-0,26%
16.05.2019;24,7;8,43M;0,88%
15.05.2019;24,485;14,25M;-2,35%
14.05.2019;25,075;27,02M;-3,26%
13.05.2019;25,92;3,39M;-0,44%
10.05.2019;26,035;3,97M;-1,42%
08.05.2019;26,41;5,08M;-0,56%
07.05.2019;26,56;6,29M;-0,24%
06.05.2019;26,625;7,33M;-1,57%
03.05.2019;27,05;3,63M;-0,61%
02.05.2019;27,215;4,59M;-1,68%
30.04.2019;27,68;3,66M;-0,41%
29.04.2019;27,795;3,22M;-0,77%
26.04.2019;28,01;4,54M;-1,49%
25.04.2019;28,435;6,46M;-1,68%
24.04.2019;28,92;5,21M;-0,41%
23.04.2019;29,04;3,82M;0,40%
22.04.2019;28,925;2,53M;-0,02%
19.04.2019;28,93;1,95M;0,80%
18.04.2019;28,7;3,62M;-0,98%
17.04.2019;28,985;14,36M;3,35%
16.04.2019;28,045;2,08M;0,70%
15.04.2019;27,85;5,21M;-0,54%
12.04.2019;28;4,87M;0,09%
11.04.2019;27,975;5,61M;-0,66%
10.04.2019;28,16;4,02M;-0,25%
09.04.2019;28,23;4,46M;0,57%
08.04.2019;28,07;3,00M;0,11%
05.04.2019;28,04;6,71M;-1,27%
04.04.2019;28,4;6,41M;-0,25%
03.04.2019;28,47;2,81M;-0,78%
02.04.2019;28,695;7,59M;0,88%
01.04.2019;28,445;7,14M;1,23%
29.03.2019;28,1;12,08M;-0,71%
28.03.2019;28,3;6,56M;-1,29%
27.03.2019;28,67;9,66M;-2,07%
26.03.2019;29,275;8,29M;-0,32%
25.03.2019;29,37;6,07M;-1,09%
22.03.2019;29,695;9,82M;-0,92%
21.03.2019;29,97;10,52M;0,74%
20.03.2019;29,75;7,68M;-0,87%
19.03.2019;30,01;4,03M;0,22%
18.03.2019;29,945;10,98M;-1,12%
15.03.2019;30,285;9,35M;-0,46%
14.03.2019;30,425;12,73M;-2,06%
13.03.2019;31,065;7,95M;-0,75%
12.03.2019;31,3;5,09M;0,03%
11.03.2019;31,29;14,55M;-1,48%
07.03.2019;31,76;34,05M;-3,08%
06.03.2019;32,77;6,15M;1,55%
05.03.2019;32,27;6,51M;-0,45%
04.03.2019;32,415;9,12M;1,53%
01.03.2019;31,925;9,20M;0,76%
28.02.2019;31,685;10,86M;-0,05%
27.02.2019;31,7;7,52M;-1,84%
26.02.2019;32,295;3,10M;0,92%
25.02.2019;32;7,28M;1,88%
22.02.2019;31,41;4,06M;0,90%
21.02.2019;31,13;3,67M;-1,16%
20.02.2019;31,495;6,17M;0,32%
19.02.2019;31,395;8,79M;-2,44%
18.02.2019;32,18;6,36M;-1,42%
15.02.2019;32,645;21,18M;-1,37%
14.02.2019;33,1;13,68M;0,29%
13.02.2019;33,005;11,64M;1,09%
12.02.2019;32,65;8,40M;1,71%
11.02.2019;32,1;18,63M;3,55%
08.02.2019;31;17,30M;2,82%
07.02.2019;30,15;21,41M;-3,35%
06.02.2019;31,195;16,64M;-0,95%
05.02.2019;31,495;21,04M;4,32%
04.02.2019;30,19;24,83M;4,83%
01.02.2019;28,8;16,41M;-1,69%
31.01.2019;29,295;27,72M;3,81%
30.01.2019;28,22;42,60M;-3,34%
29.01.2019;29,195;41,92M;-6,08%
28.01.2019;31,085;29,95M;-2,25%
25.01.2019;31,8;1,53M;0,89%
24.01.2019;31,52;2,30M;1,03%
23.01.2019;31,2;1,04M;0,32%
22.01.2019;31,1;1,64M;-1,77%
21.01.2019;31,66;3,25M;0,03%
18.01.2019;31,65;5,46M;3,20%
17.01.2019;30,67;7,42M;3,28%
16.01.2019;29,695;4,42M;-1,51%
15.01.2019;30,15;2,13M;-2,30%
14.01.2019;30,86;1,65M;-1,36%
11.01.2019;31,285;6,08M;3,95%
10.01.2019;30,095;1,30M;2,38%
09.01.2019;29,395;2,70M;-1,51%
08.01.2019;29,845;2,43M;-3,32%
04.01.2019;30,87;1,26M;0,85%
03.01.2019;30,61;1,12M;-0,60%
29.12.2018;30,795;1,69M;1,52%
28.12.2018;30,335;5,45M;3,53%
27.12.2018;29,3;3,11M;2,99%
26.12.2018;28,45;3,49M;2,01%
25.12.2018;27,89;1,73M;-2,38%
24.12.2018;28,57;1,44M;-2,99%
21.12.2018;29,45;3,09M;-3,11%
20.12.2018;30,395;22,97M;15,33%
19.12.2018;26,355;391,32K;-1,66%
18.12.2018;26,8;397,58K;-0,19%
17.12.2018;26,85;312,30K;1,51%
14.12.2018;26,45;729,25K;-0,79%
13.12.2018;26,66;484,91K;-2,52%
12.12.2018;27,35;375,40K;-0,65%
11.12.2018;27,53;429,01K;-2,72%
10.12.2018;28,3;517,83K;-0,51%
07.12.2018;28,445;398,47K;-0,09%
06.12.2018;28,47;431,69K;-1,16%
05.12.2018;28,805;431,29K;-0,57%
04.12.2018;28,97;532,03K;-1,01%
03.12.2018;29,265;637,01K;0,95%
30.11.2018;28,99;867,57K;0,69%
29.11.2018;28,79;398,68K;0,59%
28.11.2018;28,62;493,15K;-0,42%
27.11.2018;28,74;332,04K;1,34%
26.11.2018;28,36;1,91M;-3,86%
23.11.2018;29,5;700,09K;0,56%
22.11.2018;29,335;158,71K;-0,86%
21.11.2018;29,59;847,12K;2,02%
20.11.2018;29,005;1,07M;-1,02%
19.11.2018;29,305;277,84K;-0,66%
16.11.2018;29,5;364,84K;-0,51%
15.11.2018;29,65;265,79K;-0,17%
14.11.2018;29,7;415,79K;0,02%
13.11.2018;29,695;442,22K;0,32%
12.11.2018;29,6;1,39M;-0,62%
09.11.2018;29,785;1,49M;-0,12%
08.11.2018;29,82;1,56M;-0,10%
07.11.2018;29,85;2,08M;0,34%
06.11.2018;29,75;7,50M;5,33%
02.11.2018;28,245;266,00K;-0,02%
01.11.2018;28,25;967,15K;-0,88%
31.10.2018;28,5;785,02K;0,49%
30.10.2018;28,36;422,48K;-1,49%
29.10.2018;28,79;1,26M;1,91%
26.10.2018;28,25;1,40M;-0,88%
25.10.2018;28,5;1,92M;0,53%
24.10.2018;28,35;800,95K;1,07%
23.10.2018;28,05;2,33M;-1,23%
22.10.2018;28,4;589,91K;-0,91%
19.10.2018;28,66;1,02M;-0,31%
18.10.2018;28,75;697,03K;0,70%
17.10.2018;28,55;618,83K;0,14%
16.10.2018;28,51;1,23M;0,71%
15.10.2018;28,31;1,07M;-1,32%
12.10.2018;28,69;1,83M;5,44%
11.10.2018;27,21;2,01M;-2,82%
10.10.2018;28;1,27M;0,14%
09.10.2018;27,96;1,49M;-0,14%
08.10.2018;28;2,04M;0,04%
05.10.2018;27,99;6,82M;-3,52%
04.10.2018;29,01;2,07M;0,03%
03.10.2018;29;1,13M;0,97%
02.10.2018;28,72;2,00M;0,81%
01.10.2018;28,49;1,16M;1,53%
28.09.2018;28,06;1,98M;-0,07%
27.09.2018;28,08;1,57M;0,04%
26.09.2018;28,07;1,89M;0,54%
25.09.2018;27,92;3,92M;-1,76%
24.09.2018;28,42;6,23M;-3,53%
21.09.2018;29,46;6,67M;3,37%
20.09.2018;28,5;9,67M;2,96%
19.09.2018;27,68;7,83M;0,14%
18.09.2018;27,64;15,99M;3,13%
17.09.2018;26,8;16,11M;14,73%
14.09.2018;23,36;3,55M;4,99%
13.09.2018;22,25;3,31M;2,53%
12.09.2018;21,7;6,57M;9,82%
11.09.2018;19,76;774,67K;-1,20%
10.09.2018;20;2,05M;-1,82%
07.09.2018;20,37;1,39M;-3,92%
06.09.2018;21,2;674,50K;-0,47%
05.09.2018;21,3;306,89K;-0,61%
04.09.2018;21,43;629,44K;-1,24%
03.09.2018;21,7;433,68K;0,23%
31.08.2018;21,65;440,08K;-0,51%
30.08.2018;21,76;487,33K;-1,76%
29.08.2018;22,15;905,54K;1,61%
28.08.2018;21,8;603,88K;0,51%
27.08.2018;21,69;800,73K;0,65%
24.08.2018;21,55;3,19M;-4,98%
23.08.2018;22,68;1,06M;-3,20%
22.08.2018;23,43;1,46M;-2,66%
21.08.2018;24,07;207,53K;-0,33%
20.08.2018;24,15;239,82K;-0,17%
17.08.2018;24,19;322,52K;0,42%
16.08.2018;24,09;243,90K;-0,08%
15.08.2018;24,11;451,29K;-0,94%
14.08.2018;24,34;582,97K;-0,86%
13.08.2018;24,55;933,44K;0,61%
10.08.2018;24,4;2,51M;0,29%
09.08.2018;24,33;1,73M;-2,56%
08.08.2018;24,97;1,43M;-0,91%
