"Date","Price","Open","High","Low","Vol.","Change %"
"03/22/2024","2,965.9","2,994.1","3,007.0","2,965.9","","-0.94%"
"03/21/2024","2,994.1","2,960.3","3,001.7","2,960.3","","1.14%"
"03/20/2024","2,960.3","2,888.5","2,979.0","2,879.6","","2.48%"
"03/19/2024","2,888.5","2,879.2","2,893.0","2,854.2","","0.32%"
"03/18/2024","2,879.2","2,889.6","2,906.1","2,875.8","","-0.36%"
"03/15/2024","2,889.6","2,862.2","2,902.3","2,852.0","","0.96%"
"03/14/2024","2,862.2","2,918.1","2,918.1","2,830.1","","-1.92%"
"03/13/2024","2,918.1","2,915.1","2,954.6","2,911.1","","0.10%"
"03/12/2024","2,915.1","2,966.3","2,966.3","2,908.6","","-1.72%"
"03/11/2024","2,966.3","2,992.0","2,992.0","2,934.6","","-0.86%"
"03/08/2024","2,992.0","3,015.4","3,051.2","2,979.4","","-0.78%"
"03/07/2024","3,015.4","2,940.9","3,017.0","2,940.9","","2.53%"
"03/06/2024","2,940.9","2,900.6","2,960.3","2,900.6","","1.39%"
"03/05/2024","2,900.6","2,941.8","2,944.5","2,886.8","","-1.40%"
"03/04/2024","2,941.8","2,935.9","2,978.8","2,935.9","","0.20%"
"03/01/2024","2,935.9","2,892.0","2,959.3","2,892.0","","1.52%"
"02/29/2024","2,892.0","2,842.8","2,898.6","2,842.8","","1.73%"
"02/28/2024","2,842.8","2,919.5","2,919.5","2,838.3","","-2.63%"
"02/27/2024","2,919.5","2,887.3","2,925.6","2,887.3","","1.12%"
"02/26/2024","2,887.3","2,873.9","2,888.9","2,845.9","","0.47%"
"02/23/2024","2,873.9","2,870.6","2,885.8","2,841.5","","0.12%"
"02/22/2024","2,870.6","2,865.2","2,875.0","2,837.5","","0.19%"
"02/21/2024","2,865.2","2,840.0","2,866.8","2,833.5","","0.89%"
"02/20/2024","2,840.0","2,901.0","2,901.0","2,833.6","","-2.10%"
"02/16/2024","2,901.0","2,926.0","2,941.9","2,899.6","","-0.76%"
"02/15/2024","2,923.3","2,850.4","2,927.0","2,850.4","","2.56%"
"02/14/2024","2,850.4","2,795.1","2,857.3","2,795.1","","1.98%"
"02/13/2024","2,795.1","2,907.9","2,907.9","2,778.6","","-3.88%"
"02/12/2024","2,907.9","2,876.1","2,932.3","2,876.1","","1.14%"
"02/09/2024","2,875.0","2,881.1","2,885.2","2,855.0","","-0.21%"
"02/08/2024","2,881.1","2,872.6","2,889.4","2,835.8","","0.30%"
"02/07/2024","2,872.6","2,854.5","2,878.4","2,840.9","","0.63%"
"02/06/2024","2,854.5","2,850.1","2,867.6","2,839.3","","0.15%"
"02/05/2024","2,850.1","2,934.3","2,934.3","2,831.8","","-2.87%"
"02/02/2024","2,934.3","2,959.0","2,959.0","2,906.8","","-0.84%"
"02/01/2024","2,959.0","2,927.8","2,973.8","2,923.2","","1.07%"
"01/31/2024","2,927.8","2,973.9","3,009.6","2,926.6","","-1.55%"
"01/30/2024","2,973.9","2,956.6","2,975.6","2,925.6","","0.51%"
"01/29/2024","2,958.8","2,919.7","2,959.8","2,882.7","","1.34%"
"01/26/2024","2,919.7","2,900.3","2,934.4","2,897.0","","0.67%"
"01/25/2024","2,900.3","2,926.6","2,950.2","2,876.9","","-0.90%"
"01/24/2024","2,926.6","2,939.6","2,987.8","2,924.3","","-0.44%"
"01/23/2024","2,939.6","2,908.5","2,967.1","2,908.5","","1.07%"
"01/22/2024","2,908.5","2,891.1","2,913.6","2,868.8","","0.60%"
"01/19/2024","2,891.1","2,879.6","2,891.1","2,843.9","","0.40%"
"01/18/2024","2,879.6","2,845.5","2,885.1","2,843.3","","1.20%"
"01/17/2024","2,845.5","2,869.8","2,869.8","2,811.4","","-0.84%"
"01/16/2024","2,869.8","2,945.5","2,945.5","2,862.6","","-2.57%"
"01/12/2024","2,945.5","2,915.3","2,991.3","2,915.3","","1.04%"
"01/11/2024","2,915.3","2,926.3","2,930.8","2,884.2","","-0.38%"
"01/10/2024","2,926.3","2,954.8","2,954.8","2,912.3","","-0.97%"
"01/09/2024","2,954.8","2,996.8","2,996.8","2,951.1","","-1.39%"
"01/08/2024","2,996.6","2,979.1","2,996.7","2,926.1","","0.59%"
"01/05/2024","2,979.1","2,983.8","3,007.9","2,962.0","","-0.16%"
