date;chalco_price;chalco_adj;chalco_volume
14.08.2018;3.270000;3.087210;28410000
15.08.2018;3.180000;2.969974;39704656
16.08.2018;2.900000;2.969974;48435240
17.08.2018;3.050000;2.979744;36014000
20.08.2018;3.080000;3.096980;46502618
21.08.2018;3.240000;3.155597;45140473
22.08.2018;3.230000;3.096980;51936466
23.08.2018;3.180000;3.106749;24147618
24.08.2018;3.170000;3.087210;24460000
27.08.2018;3.190000;3.136058;42763747
28.08.2018;3.240000;3.321681;56066754
29.08.2018;3.370000;3.350991;31184425
30.08.2018;3.470000;3.311912;47686516
31.08.2018;3.300000;3.243524;20151905
03.09.2018;3.270000;3.145828;23100500
04.09.2018;3.230000;3.223985;12092000
05.09.2018;3.300000;3.106749;21862000
06.09.2018;3.170000;3.165367;18119590
07.09.2018;3.220000;3.106749;26436191
10.09.2018;3.180000;2.999283;30067444
11.09.2018;3.080000;3.048131;21859480
12.09.2018;3.120000;3.038362;18329722
13.09.2018;3.170000;3.145828;14820232
14.09.2018;3.260000;3.194676;15342781
17.09.2018;3.210000;3.155597;8298000
18.09.2018;3.230000;3.155597;16781100
19.09.2018;3.250000;3.272833;28481688
20.09.2018;3.350000;3.263064;9838000
21.09.2018;3.360000;3.419378;26772259
24.09.2018;3.490000;3.350991;11305224
26.09.2018;3.380000;3.282603;21759440
27.09.2018;3.380000;3.263064;8054104
28.09.2018;3.390000;3.399839;18150275
02.10.2018;3.420000;3.370530;28660801
03.10.2018;3.470000;3.634310;31175046
04.10.2018;3.800000;3.673389;114901300
05.10.2018;3.720000;3.741776;38929187
08.10.2018;3.570000;3.194676;106494341
09.10.2018;3.280000;3.253294;43122940
10.10.2018;3.340000;3.214215;19405288
11.10.2018;3.100000;3.067671;58375547
12.10.2018;3.170000;3.106749;35072704
15.10.2018;3.140000;3.038362;37351552
16.10.2018;3.110000;3.038362;25204110
18.10.2018;3.100000;2.950435;26063584
19.10.2018;3.040000;2.969974;28756671
22.10.2018;3.060000;3.028592;30756122
23.10.2018;3.120000;2.960204;25909880
24.10.2018;3.040000;2.969974;18368935
25.10.2018;2.960000;2.930895;22282321
26.10.2018;3.010000;2.803890;41349051
29.10.2018;2.900000;2.794120;20115656
31.10.2018;2.850000;2.774581;24896757
01.11.2018;2.870000;2.882047;22925228
02.11.2018;3.150000;2.950435;51845055
05.11.2018;2.980000;2.950435;24343697
06.11.2018;3.050000;3.038362;27210505
07.11.2018;3.110000;2.950435;29376197
08.11.2018;3.060000;2.960204;31750000
09.11.2018;3.000000;2.921126;19381720
12.11.2018;3.040000;2.930895;13744856
13.11.2018;2.950000;2.842969;31723396
14.11.2018;2.920000;2.882047;23627103
15.11.2018;2.980000;2.882047;23967400
16.11.2018;2.950000;2.911356;19949036
19.11.2018;2.970000;2.921126;15372000
20.11.2018;2.970000;2.862508;20929242
21.11.2018;2.900000;2.833199;22804851
22.11.2018;2.920000;2.842969;10855975
23.11.2018;2.890000;2.803890;14426000
26.11.2018;2.890000;2.803890;11427752
27.11.2018;2.890000;2.706193;33243467
28.11.2018;2.800000;2.696424;31841447
29.11.2018;2.810000;2.706193;27288212
30.11.2018;2.780000;2.735502;27494442
03.12.2018;2.870000;2.813660;45800802
04.12.2018;2.880000;2.842969;27788613
05.12.2018;2.850000;2.823429;18732000
06.12.2018;2.850000;2.725733;19861776
07.12.2018;2.800000;2.676885;9632000
10.12.2018;2.710000;2.618267;18622329
11.12.2018;2.680000;2.569419;11088856
12.12.2018;2.640000;2.588958;13923909
13.12.2018;2.690000;2.735502;25643575
14.12.2018;2.750000;2.647576;21311000
17.12.2018;2.700000;2.628036;13325476
18.12.2018;2.670000;2.569419;15854500
19.12.2018;2.630000;2.598727;9643390
20.12.2018;2.630000;2.520570;22927636
21.12.2018;2.550000;2.432643;42497521
24.12.2018;2.480000;2.354486;24726916
27.12.2018;2.450000;2.413104;11192280
28.12.2018;2.440000;2.432643;9426500
31.12.2018;2.480000;2.461952;5717058
02.01.2019;2.490000;2.393565;14064036
03.01.2019;2.410000;2.354486;17128000
04.01.2019;2.400000;2.364256;16667559
07.01.2019;2.450000;2.461952;26042500
08.01.2019;2.520000;2.491261;17725544
09.01.2019;2.580000;2.501031;23991870
10.01.2019;2.580000;2.501031;15562380
11.01.2019;2.550000;2.520570;24097870
14.01.2019;2.590000;2.520570;16040099
15.01.2019;2.580000;2.618267;24340002
16.01.2019;2.690000;2.628036;20337900
17.01.2019;2.690000;2.608497;19982250
18.01.2019;2.700000;2.774581;60295000
21.01.2019;2.880000;2.735502;31150723
22.01.2019;2.800000;2.686654;19201438
23.01.2019;2.700000;2.706193;11298800
24.01.2019;2.750000;2.725733;11611670
25.01.2019;2.790000;2.764811;22933187
28.01.2019;2.840000;2.784350;23082206
29.01.2019;2.800000;2.715963;22562082
30.01.2019;2.810000;2.735502;13117600
31.01.2019;2.830000;2.823429;23492870
01.02.2019;2.920000;2.882047;18738013
04.02.2019;2.930000;2.872277;6086150
08.02.2019;2.890000;2.823429;22302029
11.02.2019;2.860000;2.803890;11450589
12.02.2019;2.930000;2.813660;18810793
13.02.2019;2.880000;2.911356;27603438
14.02.2019;2.980000;2.891817;22357340
15.02.2019;2.920000;2.794120;12640000
18.02.2019;2.920000;2.852738;17452900
19.02.2019;2.910000;2.862508;17735857
20.02.2019;2.950000;2.930895;17848315
21.02.2019;3.000000;2.969974;33045985
22.02.2019;3.040000;2.989513;21011708
25.02.2019;3.100000;3.077440;24751289
26.02.2019;3.200000;3.155597;58455579
27.02.2019;3.280000;3.223985;54104073
28.02.2019;3.350000;3.145828;30308650
01.03.2019;3.220000;3.214215;23301463
04.03.2019;3.300000;3.292372;31558389
05.03.2019;3.300000;3.214215;26788282
06.03.2019;3.320000;3.321681;32796008
07.03.2019;3.410000;3.331451;59164045
08.03.2019;3.320000;2.999283;69378110
11.03.2019;3.100000;2.989513;43535711
12.03.2019;3.100000;3.018822;20979030
13.03.2019;3.110000;2.999283;14290795
14.03.2019;3.140000;3.018822;13243886
15.03.2019;3.050000;2.950435;30928000
18.03.2019;3.050000;3.048131;27789688
19.03.2019;3.140000;3.018822;13523461
20.03.2019;3.120000;2.999283;13590625
21.03.2019;3.090000;3.038362;11118643
