"Date","Price","Open","High","Low","Vol.","Change %"
"04/02/2024","9,543.76","9,543.76","9,543.76","9,543.76","","-0.42%"
"04/01/2024","9,584.31","9,584.31","9,584.31","9,584.31","","1.53%"
"03/29/2024","9,440.05","9,440.05","9,440.05","9,440.05","","0.71%"
"03/28/2024","9,373.79","9,373.79","9,373.79","9,373.79","","0.57%"
"03/27/2024","9,320.30","9,320.30","9,320.30","9,320.30","","-1.52%"
"03/26/2024","9,464.02","9,464.02","9,464.02","9,464.02","","0.26%"
"03/25/2024","9,439.91","9,439.91","9,439.91","9,439.91","","-0.38%"
"03/22/2024","9,476.15","9,476.15","9,476.15","9,476.15","","-1.44%"
"03/21/2024","9,614.33","9,614.33","9,614.33","9,614.33","","-0.13%"
"03/20/2024","9,626.88","9,626.88","9,626.88","9,626.88","","0.22%"
"03/19/2024","9,606.08","9,606.08","9,606.08","9,606.08","","-0.73%"
"03/18/2024","9,676.86","9,676.86","9,676.86","9,676.86","","0.97%"
"03/15/2024","9,583.83","9,583.83","9,583.83","9,583.83","","0.39%"
"03/14/2024","9,546.43","9,546.43","9,546.43","9,546.43","","-0.34%"
"03/13/2024","9,579.45","9,579.45","9,579.45","9,579.45","","-0.78%"
"03/12/2024","9,655.15","9,655.15","9,655.15","9,655.15","","0.25%"
"03/11/2024","9,630.65","9,630.65","9,630.65","9,630.65","","1.46%"
"03/08/2024","9,492.01","9,492.01","9,492.01","9,492.01","","0.65%"
"03/07/2024","9,430.36","9,430.36","9,430.36","9,430.36","","-0.62%"
"03/06/2024","9,488.98","9,488.98","9,488.98","9,488.98","","-0.33%"
"03/05/2024","9,520.67","9,520.67","9,520.67","9,520.67","","0.51%"
"03/04/2024","9,472.55","9,472.55","9,472.55","9,472.55","","0.13%"
"03/01/2024","9,459.90","9,459.90","9,459.90","9,459.90","","0.45%"
"02/29/2024","9,417.84","9,417.84","9,417.84","9,417.84","","2.18%"
"02/28/2024","9,216.50","9,216.50","9,216.50","9,216.50","","-1.42%"
"02/27/2024","9,349.34","9,349.34","9,349.34","9,349.34","","1.29%"
"02/26/2024","9,230.60","9,230.60","9,230.60","9,230.60","","-0.98%"
"02/23/2024","9,322.25","9,322.25","9,322.25","9,322.25","","0.15%"
"02/22/2024","9,308.71","9,308.71","9,308.71","9,308.71","","0.76%"
"02/21/2024","9,238.05","9,238.05","9,238.05","9,238.05","","1.34%"
"02/20/2024","9,116.16","9,116.16","9,116.16","9,116.16","","0.15%"
"02/19/2024","9,102.40","9,102.40","9,102.40","9,102.40","","0.98%"
"02/08/2024","9,014.24","9,014.24","9,014.24","9,014.24","","0.54%"
"02/07/2024","8,965.39","8,965.39","8,965.39","8,965.39","","1.82%"
"02/06/2024","8,804.82","8,804.82","8,804.82","8,804.82","","4.24%"
"02/05/2024","8,447.04","8,447.04","8,447.04","8,447.04","","-0.01%"
"02/02/2024","8,447.96","8,447.96","8,447.96","8,447.96","","-1.32%"
