Date,Value,Prev_value
31.12.2022,"8831,13","8621,73"
31.12.2021,"8621,73","8255,57"
31.12.2020,"8255,57","8592,21"
31.12.2019,"8592,21","8553,86"
31.12.2018,"8553,86","8470,94"
31.12.2017,"8470,94",
