date;sp_metals_price;sp_metals_change
20.11.2018;1.472,8;-4,03%
19.11.2018;1.534,7;-2,33%
16.11.2018;1.571,3;0,88%
15.11.2018;1.557,5;1,83%
14.11.2018;1.529,5;-0,51%
13.11.2018;1.537,3;0,61%
12.11.2018;1.527,9;-1,57%
09.11.2018;1.552,2;-2,30%
08.11.2018;1.588,8;-1,36%
07.11.2018;1.610,8;0,68%
06.11.2018;1.599,9;-0,21%
05.11.2018;1.603,3;0,14%
02.11.2018;1.601,1;1,92%
01.11.2018;1.571,0;1,83%
31.10.2018;1.542,8;2,08%
30.10.2018;1.511,4;0,60%
29.10.2018;1.502,3;-0,87%
26.10.2018;1.515,6;-1,93%
25.10.2018;1.545,4;2,00%
24.10.2018;1.515,1;-5,81%
23.10.2018;1.608,6;-1,95%
22.10.2018;1.640,6;0,67%
19.10.2018;1.629,6;-1,23%
18.10.2018;1.649,9;-1,80%
17.10.2018;1.680,1;0,22%
16.10.2018;1.676,5;1,25%
15.10.2018;1.655,8;0,24%
12.10.2018;1.651,8;0,06%
11.10.2018;1.650,8;0,90%
10.10.2018;1.636,0;-3,09%
09.10.2018;1.688,2;-1,16%
08.10.2018;1.707,9;0,48%
05.10.2018;1.699,7;-0,64%
04.10.2018;1.710,6;-1,17%
03.10.2018;1.730,8;-0,45%
02.10.2018;1.738,6;0,37%
01.10.2018;1.732,2;0,55%
28.09.2018;1.722,8;0,19%
27.09.2018;1.719,5;-0,59%
26.09.2018;1.729,7;-2,27%
25.09.2018;1.769,9;1,63%
24.09.2018;1.741,5;-0,87%
21.09.2018;1.756,8;-0,79%
20.09.2018;1.770,7;0,23%
19.09.2018;1.766,7;0,93%
18.09.2018;1.750,3;1,60%
17.09.2018;1.722,7;1,00%
14.09.2018;1.705,6;0,44%
13.09.2018;1.698,2;-0,47%
12.09.2018;1.706,1;2,32%
11.09.2018;1.667,4;-0,52%
10.09.2018;1.676,2;0,03%
07.09.2018;1.675,6;-0,77%
06.09.2018;1.688,7;-0,08%
05.09.2018;1.690,0;0,72%
04.09.2018;1.677,9;-1,85%
31.08.2018;1.709,5;0,59%
30.08.2018;1.699,5;-2,15%
29.08.2018;1.736,9;0,88%
28.08.2018;1.721,8;-0,19%
27.08.2018;1.725,1;1,25%
24.08.2018;1.703,8;1,85%
23.08.2018;1.672,8;-2,68%
22.08.2018;1.718,8;0,24%
21.08.2018;1.714,7;1,30%
20.08.2018;1.692,6;0,65%
17.08.2018;1.681,7;1,37%
16.08.2018;1.658,9;1,41%
15.08.2018;1.635,8;-4,33%
14.08.2018;1.709,8;-0,62%
13.08.2018;1.720,5;-1,51%
10.08.2018;1.746,8;-0,49%
09.08.2018;1.755,4;-0,50%
08.08.2018;1.764,3;-0,38%
07.08.2018;1.771,0;-0,58%
06.08.2018;1.781,4;-0,13%
03.08.2018;1.783,6;0,18%
02.08.2018;1.780,4;-0,77%
01.08.2018;1.794,1;-1,02%
31.07.2018;1.812,6;-0,30%
30.07.2018;1.818,1;-0,95%
27.07.2018;1.835,5;-1,36%
26.07.2018;1.860,9;-0,87%
25.07.2018;1.877,3;0,32%
24.07.2018;1.871,3;1,53%
23.07.2018;1.843,0;1,25%
20.07.2018;1.820,3;0,72%
19.07.2018;1.807,3;-2,54%
18.07.2018;1.854,3;1,67%
17.07.2018;1.823,9;1,29%
16.07.2018;1.800,7;-0,63%
13.07.2018;1.812,2;-0,26%
12.07.2018;1.816,9;0,11%
11.07.2018;1.815,0;-2,11%
10.07.2018;1.854,1;0,36%
09.07.2018;1.847,5;1,17%
06.07.2018;1.826,1;0,69%
05.07.2018;1.813,6;1,72%
03.07.2018;1.782,9;-0,15%
02.07.2018;1.785,6;-0,27%
29.06.2018;1.790,4;0,77%
28.06.2018;1.776,8;-0,30%
27.06.2018;1.782,2;-1,43%
26.06.2018;1.808,1;0,96%
25.06.2018;1.790,9;-4,10%
22.06.2018;1.867,5;2,04%
21.06.2018;1.830,2;-1,26%
20.06.2018;1.853,5;1,12%
19.06.2018;1.832,9;-2,21%
18.06.2018;1.874,3;0,64%
15.06.2018;1.862,4;-2,50%
14.06.2018;1.910,1;0,70%
13.06.2018;1.896,9;-0,80%
12.06.2018;1.912,3;-0,13%
11.06.2018;1.914,8;0,67%
08.06.2018;1.902,1;-0,53%
07.06.2018;1.912,2;-0,93%
06.06.2018;1.930,2;1,33%
05.06.2018;1.904,9;1,27%
04.06.2018;1.881,0;-0,62%
01.06.2018;1.892,7;1,16%
31.05.2018;1.871,0;-0,20%
30.05.2018;1.874,8;2,22%
29.05.2018;1.834,1;-0,31%
25.05.2018;1.839,9;-1,26%
24.05.2018;1.863,4;0,28%
23.05.2018;1.858,1;-0,68%
22.05.2018;1.870,9;-0,40%
21.05.2018;1.878,4;-0,51%
18.05.2018;1.887,9;-0,55%
17.05.2018;1.898,4;1,13%
16.05.2018;1.877,2;1,69%
15.05.2018;1.846,1;0,44%
14.05.2018;1.837,9;-0,40%
11.05.2018;1.845,3;0,45%
10.05.2018;1.837,0;1,44%
09.05.2018;1.810,9;0,36%
08.05.2018;1.804,3;-0,23%
07.05.2018;1.808,4;0,59%
04.05.2018;1.797,9;2,30%
03.05.2018;1.757,5;1,06%
02.05.2018;1.739,0;0,85%
01.05.2018;1.724,3;-1,33%
30.04.2018;1.747,6;-0,60%
27.04.2018;1.758,1;-2,25%
26.04.2018;1.798,7;0,11%
25.04.2018;1.796,7;0,46%
24.04.2018;1.788,5;-0,89%
23.04.2018;1.804,6;-2,45%
20.04.2018;1.849,8;-0,65%
19.04.2018;1.861,9;0,91%
18.04.2018;1.845,0;2,01%
17.04.2018;1.808,7;1,84%
16.04.2018;1.776,1;-0,04%
13.04.2018;1.776,9;0,43%
12.04.2018;1.769,3;0,72%
11.04.2018;1.756,7;-0,79%
10.04.2018;1.770,7;3,53%
09.04.2018;1.710,4;0,86%
06.04.2018;1.695,8;-2,68%
05.04.2018;1.742,4;2,17%
04.04.2018;1.705,4;0,51%
03.04.2018;1.696,7;1,03%
02.04.2018;1.679,4;-1,36%
29.03.2018;1.702,6;3,05%
28.03.2018;1.652,1;-1,25%
27.03.2018;1.673,0;-2,57%
26.03.2018;1.717,1;1,86%
23.03.2018;1.685,8;-0,92%
22.03.2018;1.701,5;-5,93%
21.03.2018;1.808,8;2,43%
20.03.2018;1.765,8;-0,86%
19.03.2018;1.781,2;-2,81%
16.03.2018;1.832,7;1,30%
15.03.2018;1.809,1;-0,39%
14.03.2018;1.816,2;-1,81%
13.03.2018;1.849,7;-0,31%
12.03.2018;1.855,5;1,07%
09.03.2018;1.835,8;-0,45%
08.03.2018;1.844,1;-2,07%
07.03.2018;1.883,1;0,26%
06.03.2018;1.878,2;1,73%
05.03.2018;1.846,3;-0,77%
02.03.2018;1.860,6;0,78%
01.03.2018;1.846,1;2,31%
28.02.2018;1.804,4;-2,89%
27.02.2018;1.858,0;-1,56%
26.02.2018;1.887,4;0,92%
23.02.2018;1.870,3;0,61%
22.02.2018;1.859,0;-0,09%
21.02.2018;1.860,6;-0,69%
20.02.2018;1.873,5;-2,13%
16.02.2018;1.914,3;2,50%
15.02.2018;1.867,6;-0,06%
14.02.2018;1.868,8;3,92%
13.02.2018;1.798,3;1,46%
12.02.2018;1.772,4;3,11%
09.02.2018;1.718,9;0,77%
08.02.2018;1.705,8;-2,70%
07.02.2018;1.753,1;-1,55%
06.02.2018;1.780,8;2,21%
05.02.2018;1.742,3;-1,73%
02.02.2018;1.773,0;-4,46%
01.02.2018;1.855,8;0,37%
31.01.2018;1.848,9;-0,89%
30.01.2018;1.865,6;-3,01%
29.01.2018;1.923,4;-1,42%
26.01.2018;1.951,1;0,86%
25.01.2018;1.934,4;-1,11%
24.01.2018;1.956,2;0,60%
23.01.2018;1.944,6;-0,10%
22.01.2018;1.946,7;0,67%
19.01.2018;1.933,7;0,76%
18.01.2018;1.919,1;-1,53%
17.01.2018;1.948,9;1,73%
16.01.2018;1.915,8;-1,82%
12.01.2018;1.951,2;-0,52%
11.01.2018;1.961,4;2,91%
10.01.2018;1.905,9;1,91%
09.01.2018;1.870,1;-1,50%
08.01.2018;1.898,6;0,75%
05.01.2018;1.884,6;-0,18%
04.01.2018;1.888,0;0,64%
03.01.2018;1.876,0;-0,60%
02.01.2018;1.887,3;4,36%
