date;hongqiao_price;hongqiao_adj;hongqiao_volume
18.07.2018;7.390000;4.929258;2397000
19.07.2018;7.380000;4.949268;1630500
20.07.2018;7.240000;4.935928;1387891
23.07.2018;7.400000;4.969278;1150500
24.07.2018;7.470000;5.262766;4802000
25.07.2018;7.900000;5.309457;1629500
26.07.2018;7.830000;5.096012;1373000
27.07.2018;7.610000;5.035981;1681000
30.07.2018;7.570000;5.015970;432500
31.07.2018;7.320000;4.955938;1677000
01.08.2018;7.530000;4.802524;4472000
02.08.2018;7.210000;4.662450;3406500
03.08.2018;7.000000;4.562398;2970500
06.08.2018;6.840000;4.455675;2978000
07.08.2018;6.700000;4.502367;3041500
08.08.2018;6.740000;4.522377;1989500
09.08.2018;6.790000;4.662450;4697000
10.08.2018;7.000000;4.682461;3056500
13.08.2018;6.960000;4.875896;4571000
14.08.2018;7.200000;4.569068;3033000
15.08.2018;6.850000;4.182199;5995000
16.08.2018;6.260000;4.202209;6742180
17.08.2018;6.380000;4.182199;4994500
20.08.2018;6.210000;4.168859;2798000
21.08.2018;6.380000;4.422324;2742500
22.08.2018;6.670000;4.408984;2683500
23.08.2018;6.510000;4.355623;1063500
24.08.2018;6.590000;4.428995;1585000
27.08.2018;6.640000;4.408984;7611500
28.08.2018;6.690000;4.435666;2448000
29.08.2018;6.720000;4.495696;3291000
30.08.2018;6.710000;4.422324;2534000
31.08.2018;6.870000;4.422324;3814500
03.09.2018;6.600000;4.422324;2176500
04.09.2018;6.650000;4.562398;2642500
05.09.2018;6.800000;4.555728;3986000
06.09.2018;6.830000;4.562398;3892000
07.09.2018;6.840000;4.582408;6894500
10.09.2018;6.900000;4.582408;11066500
11.09.2018;6.800000;4.502367;13716500
12.09.2018;6.750000;4.535717;12953000
13.09.2018;6.850000;4.589079;6215000
14.09.2018;6.900000;3.862031;63695500
17.09.2018;5.800000;3.595223;16574500
18.09.2018;5.400000;3.555202;10593000
19.09.2018;5.360000;3.595223;5993000
20.09.2018;5.380000;3.615233;5613000
21.09.2018;5.420000;3.801998;18733000
24.09.2018;5.700000;3.708616;1134500
26.09.2018;5.550000;3.575213;9141500
27.09.2018;5.360000;3.441809;4654000
28.09.2018;5.260000;3.468490;4137000
02.10.2018;5.350000;3.435139;3722000
03.10.2018;5.150000;3.581882;10370500
04.10.2018;5.370000;3.761977;9731000
05.10.2018;5.680000;3.715286;6062000
08.10.2018;5.430000;3.388448;12467500
09.10.2018;5.060000;3.535192;11793400
10.10.2018;5.300000;3.635244;34108000
11.10.2018;5.500000;3.568542;17679500
12.10.2018;5.300000;3.695276;22944000
15.10.2018;5.550000;3.548532;4933500
16.10.2018;5.500000;3.568542;12056333
18.10.2018;5.560000;3.641914;17645000
19.10.2018;5.400000;3.801998;18607226
22.10.2018;5.880000;3.902052;10903088
23.10.2018;5.850000;3.735297;13615000
24.10.2018;5.620000;3.735297;15800246
25.10.2018;5.550000;3.655254;10974500
26.10.2018;5.500000;3.628574;17381000
29.10.2018;5.560000;3.515181;4259000
31.10.2018;5.090000;3.501840;7723000
