date;lme_price;lme_volume;lme_change
14.03.2019;1.895,25;28,29K;-0,12%
13.03.2019;1.897,50;35,28K;1,70%
12.03.2019;1.865,75;69,62K;1,45%
11.03.2019;1.839,00;44,25K;-1,47%
08.03.2019;1.866,50;30,40K;0,43%
07.03.2019;1.858,50;32,76K;-0,11%
06.03.2019;1.860,50;29,90K;-0,44%
05.03.2019;1.868,75;37,38K;-0,09%
04.03.2019;1.870,50;43,08K;-2,34%
01.03.2019;1.915,25;45,07K;0,35%
28.02.2019;1.908,50;25,12K;-0,57%
27.02.2019;1.919,50;16,97K;0,58%
26.02.2019;1.908,50;30,36K;0,21%
25.02.2019;1.904,50;24,69K;-0,39%
22.02.2019;1.912,00;32,23K;0,39%
21.02.2019;1.904,50;28,70K;1,95%
20.02.2019;1.868,00;22,32K;0,63%
19.02.2019;1.856,25;26,16K;0,56%
18.02.2019;1.846,00;30,66K;-0,11%
15.02.2019;1.848,00;67,33K;0,48%
14.02.2019;1.839,25;40,52K;-0,55%
13.02.2019;1.849,50;43,09K;-0,08%
12.02.2019;1.851,00;44,51K;-1,13%
11.02.2019;1.872,25;39,44K;-0,11%
08.02.2019;1.874,25;30,75K;-0,70%
07.02.2019;1.887,50;38,84K;-0,71%
06.02.2019;1.901,00;27,72K;-0,85%
05.02.2019;1.917,25;52,01K;0,12%
04.02.2019;1.915,00;31,40K;1,97%
01.02.2019;1.878,00;27,57K;-1,47%
31.01.2019;1.906,00;25,19K;0,04%
30.01.2019;1.905,25;19,56K;0,91%
29.01.2019;1.888,00;18,06K;1,31%
28.01.2019;1.863,50;23,86K;-2,84%
25.01.2019;1.918,00;18,40K;1,55%
24.01.2019;1.888,75;25,16K;-1,03%
23.01.2019;1.908,50;40,74K;1,38%
22.01.2019;1.882,50;17,20K;1,67%
21.01.2019;1.851,50;17,81K;-1,07%
18.01.2019;1.871,50;42,62K;0,73%
17.01.2019;1.858,00;75,55K;-0,01%
16.01.2019;1.858,25;46,52K;0,76%
15.01.2019;1.844,25;32,94K;0,88%
14.01.2019;1.828,25;121,03K;-0,58%
11.01.2019;1.839,00;78,38K;-1,45%
10.01.2019;1.866,00;102,80K;0,40%
09.01.2019;1.858,50;67,26K;-0,64%
08.01.2019;1.870,50;57,40K;-0,83%
07.01.2019;1.886,25;43,79K;0,61%
04.01.2019;1.874,75;58,06K;1,75%
03.01.2019;1.842,50;44,78K;2,42%
02.01.2019;1.799,00;45,74K;-2,65%
31.12.2018;1.848,00;25,44K;0,08%
28.12.2018;1.846,50;27,76K;-0,38%
27.12.2018;1.853,50;37,21K;-2,22%
24.12.2018;1.895,50;14,55K;-0,82%
21.12.2018;1.911,25;37,30K;-0,04%
20.12.2018;1.912,00;82,08K;-0,74%
19.12.2018;1.926,25;45,29K;0,13%
18.12.2018;1.923,75;49,69K;-0,44%
17.12.2018;1.932,25;32,71K;0,85%
14.12.2018;1.916,00;12,82K;-0,35%
13.12.2018;1.922,75;29,09K;-0,43%
12.12.2018;1.931,00;25,48K;-0,01%
11.12.2018;1.931,25;53,73K;0,04%
10.12.2018;1.930,50;37,52K;-1,00%
07.12.2018;1.950,00;39,01K;0,85%
06.12.2018;1.933,50;16,47K;-1,72%
05.12.2018;1.967,25;16,31K;-0,24%
04.12.2018;1.972,00;27,41K;-0,01%
03.12.2018;1.972,25;26,32K;0,77%
30.11.2018;1.957,25;22,40K;0,95%
29.11.2018;1.938,75;20,31K;0,44%
28.11.2018;1.930,25;18,84K;0,09%
27.11.2018;1.928,50;16,41K;-1,10%
26.11.2018;1.950,00;11,43K;0,04%
23.11.2018;1.949,25;18,31K;0,09%
22.11.2018;1.947,50;10,90K;-0,36%
21.11.2018;1.954,50;28,69K;0,75%
20.11.2018;1.940,00;54,82K;0,99%
19.11.2018;1.921,00;47,33K;-0,36%
16.11.2018;1.928,00;37,70K;0,55%
15.11.2018;1.917,50;53,70K;-0,81%
14.11.2018;1.933,25;31,05K;0,35%
13.11.2018;1.926,50;50,87K;-0,39%
12.11.2018;1.934,00;38,83K;-0,74%
09.11.2018;1.948,50;36,16K;-1,84%
08.11.2018;1.985,00;48,40K;0,24%
07.11.2018;1.980,25;40,16K;1,80%
06.11.2018;1.945,25;28,94K;-1,21%
05.11.2018;1.969,00;32,26K;-0,03%
02.11.2018;1.969,50;34,34K;0,41%
01.11.2018;1.961,50;36,63K;0,67%
31.10.2018;1.948,50;36,61K;-0,66%
30.10.2018;1.961,50;32,35K;-0,90%
29.10.2018;1.979,25;16,66K;-0,78%
26.10.2018;1.994,75;21,16K;0,24%
25.10.2018;1.990,00;22,27K;-0,23%
24.10.2018;1.994,50;19,61K;-0,24%
23.10.2018;1.999,25;34,30K;-0,36%
22.10.2018;2.006,50;16,56K;0,15%
19.10.2018;2.003,50;43,52K;-0,50%
18.10.2018;2.013,50;20,43K;-0,44%
17.10.2018;2.022,50;36,95K;-0,57%
16.10.2018;2.034,00;76,78K;-0,34%
15.10.2018;2.041,00;36,80K;-0,66%
12.10.2018;2.054,50;27,18K;1,01%
11.10.2018;2.034,00;56,26K;-1,36%
10.10.2018;2.062,00;48,34K;-0,41%
09.10.2018;2.070,50;83,96K;-0,58%
08.10.2018;2.082,50;56,88K;-2,94%
05.10.2018;2.145,50;85,56K;-1,90%
04.10.2018;2.187,00;49,17K;-1,60%
03.10.2018;2.222,50;67,71K;4,29%
02.10.2018;2.131,00;50,53K;1,50%
01.10.2018;2.099,50;31,47K;1,16%
28.09.2018;2.075,50;44,56K;1,67%
27.09.2018;2.041,50;26,61K;-1,73%
26.09.2018;2.077,50;37,19K;-0,16%
25.09.2018;2.080,75;39,17K;0,52%
24.09.2018;2.070,00;43,84K;-1,45%
21.09.2018;2.100,50;35,86K;2,56%
20.09.2018;2.048,00;77,73K;1,09%
19.09.2018;2.026,00;93,89K;-0,43%
18.09.2018;2.034,75;47,94K;0,47%
17.09.2018;2.025,25;22,17K;-0,56%
14.09.2018;2.036,75;34,01K;-1,04%
13.09.2018;2.058,25;34,50K;0,02%
12.09.2018;2.057,75;45,51K;0,94%
11.09.2018;2.038,50;21,60K;-2,46%
10.09.2018;2.090,00;33,85K;1,19%
07.09.2018;2.065,50;24,26K;1,47%
06.09.2018;2.035,50;27,46K;-1,46%
05.09.2018;2.065,75;25,85K;0,27%
04.09.2018;2.060,25;20,77K;-1,68%
03.09.2018;2.095,50;16,24K;-1,39%
31.08.2018;2.125,00;29,83K;-0,35%
30.08.2018;2.132,50;17,72K;-1,84%
29.08.2018;2.172,50;25,30K;1,80%
28.08.2018;2.134,00;14,79K;1,80%
24.08.2018;2.096,25;13,07K;0,98%
23.08.2018;2.076,00;8,42K;0,51%
22.08.2018;2.065,50;26,62K;0,54%
21.08.2018;2.054,50;51,90K;-0,01%
20.08.2018;2.054,75;8,83K;1,26%
17.08.2018;2.029,25;14,90K;-0,92%
16.08.2018;2.048,00;16,36K;1,11%
15.08.2018;2.025,50;17,31K;-2,20%
14.08.2018;2.071,00;26,84K;-0,60%
13.08.2018;2.083,50;50,97K;-1,02%
10.08.2018;2.105,00;35,36K;1,25%
09.08.2018;2.079,00;40,37K;-1,24%
08.08.2018;2.105,00;38,38K;3,47%
07.08.2018;2.034,50;26,06K;-0,22%
06.08.2018;2.039,00;21,05K;0,72%
03.08.2018;2.024,50;14,01K;-0,41%
02.08.2018;2.032,75;29,40K;-0,84%
01.08.2018;2.050,00;23,49K;-1,42%
31.07.2018;2.079,50;19,73K;-0,63%
30.07.2018;2.092,75;18,15K;1,07%
27.07.2018;2.070,50;12,95K;0,17%
26.07.2018;2.067,00;14,60K;0,23%
25.07.2018;2.062,25;19,44K;-1,09%
24.07.2018;2.085,00;28,32K;0,75%
23.07.2018;2.069,50;29,27K;1,96%
20.07.2018;2.029,75;20,40K;1,42%
19.07.2018;2.001,25;27,56K;-1,28%
18.07.2018;2.027,25;26,60K;-0,23%
17.07.2018;2.032,00;74,67K;-0,79%
16.07.2018;2.048,25;47,35K;1,19%
13.07.2018;2.024,25;46,29K;-0,54%
12.07.2018;2.035,25;48,90K;-0,91%
11.07.2018;2.054,00;57,32K;-1,46%
10.07.2018;2.084,50;56,23K;-1,49%
09.07.2018;2.116,00;47,38K;1,91%
06.07.2018;2.076,25;31,26K;-0,01%
05.07.2018;2.076,50;28,51K;-0,43%
04.07.2018;2.085,50;13,40K;0,41%
03.07.2018;2.077,00;41,84K;-0,91%
02.07.2018;2.096,00;47,05K;-1,68%
29.06.2018;2.131,75;27,21K;-1,03%
28.06.2018;2.154,00;19,44K;-0,99%
27.06.2018;2.175,50;25,47K;0,85%
26.06.2018;2.157,25;19,45K;0,08%
25.06.2018;2.155,50;20,79K;-0,94%
22.06.2018;2.176,00;29,86K;-0,18%
21.06.2018;2.180,00;57,99K;0,61%
20.06.2018;2.166,75;33,79K;-0,20%
19.06.2018;2.171,00;68,75K;-2,04%
18.06.2018;2.216,25;25,19K;0,67%
15.06.2018;2.201,50;19,56K;-2,34%
14.06.2018;2.254,25;27,67K;-0,86%
13.06.2018;2.273,75;40,40K;-1,18%
12.06.2018;2.301,00;22,80K;0,07%
11.06.2018;2.299,50;39,52K;0,09%
08.06.2018;2.297,50;28,91K;-0,53%
07.06.2018;2.309,75;24,67K;-1,42%
06.06.2018;2.343,00;17,74K;1,45%
05.06.2018;2.309,50;21,52K;-0,15%
04.06.2018;2.313,00;21,14K;0,46%
01.06.2018;2.302,50;12,69K;0,57%
31.05.2018;2.289,50;21,21K;0,97%
30.05.2018;2.267,50;15,14K;-0,23%
29.05.2018;2.272,75;16,05K;0,50%
25.05.2018;2.261,50;12,28K;-0,83%
24.05.2018;2.280,50;21,86K;0,51%
23.05.2018;2.269,00;31,83K;0,01%
22.05.2018;2.268,75;13,70K;-0,47%
21.05.2018;2.279,50;29,95K;0,40%
18.05.2018;2.270,50;31,65K;-1,02%
17.05.2018;2.294,00;19,38K;-0,99%
16.05.2018;2.317,00;42,11K;-0,43%
15.05.2018;2.327,00;57,12K;-0,36%
14.05.2018;2.335,50;26,10K;1,61%
11.05.2018;2.298,50;50,15K;-2,07%
10.05.2018;2.347,00;47,60K;-1,63%
09.05.2018;2.386,00;69,66K;-0,23%
08.05.2018;2.391,50;52,19K;0,48%
04.05.2018;2.380,00;38,67K;4,25%
03.05.2018;2.283,00;35,36K;-2,16%
02.05.2018;2.333,50;44,31K;2,84%
01.05.2018;2.269,00;26,77K;0,33%
30.04.2018;2.261,50;26,88K;1,50%
27.04.2018;2.228,00;31,02K;-2,30%
26.04.2018;2.280,50;30,87K;1,42%
25.04.2018;2.248,50;33,52K;0,83%
24.04.2018;2.230,00;54,34K;-2,96%
23.04.2018;2.298,00;35,65K;-7,17%
20.04.2018;2.475,50;39,82K;-0,60%
19.04.2018;2.490,50;65,16K;-1,83%
18.04.2018;2.537,00;152,04K;5,50%
17.04.2018;2.404,75;39,39K;-0,13%
16.04.2018;2.408,00;54,65K;5,11%
13.04.2018;2.291,00;96,32K;-2,14%
12.04.2018;2.341,00;87,73K;3,81%
11.04.2018;2.255,00;88,65K;2,26%
10.04.2018;2.205,25;95,63K;2,90%
09.04.2018;2.143,00;121,89K;5,05%
06.04.2018;2.040,00;52,22K;1,73%
05.04.2018;2.005,25;41,51K;0,88%
04.04.2018;1.987,75;48,83K;0,58%
03.04.2018;1.976,25;49,00K;-1,35%
29.03.2018;2.003,25;58,89K;-1,10%
28.03.2018;2.025,50;36,01K;-0,88%
27.03.2018;2.043,50;34,61K;-0,38%
26.03.2018;2.051,25;29,10K;0,02%
23.03.2018;2.050,75;25,07K;-1,17%
22.03.2018;2.075,00;27,56K;-0,31%
21.03.2018;2.081,50;39,41K;0,26%
20.03.2018;2.076,00;85,93K;-0,31%
19.03.2018;2.082,50;28,96K;0,14%
16.03.2018;2.079,50;8,21K;0,04%
15.03.2018;2.078,75;27,69K;-0,24%
14.03.2018;2.083,75;23,10K;-0,67%
13.03.2018;2.097,75;23,98K;0,60%
12.03.2018;2.085,25;31,28K;-1,42%
09.03.2018;2.115,25;30,59K;0,67%
08.03.2018;2.101,25;36,48K;0,43%
07.03.2018;2.092,25;44,74K;-2,39%
06.03.2018;2.143,50;16,32K;-0,01%
05.03.2018;2.143,75;21,07K;-0,20%
02.03.2018;2.148,00;22,08K;0,07%
01.03.2018;2.146,50;20,21K;0,70%
28.02.2018;2.131,50;33,47K;-0,70%
27.02.2018;2.146,50;15,65K;0,41%
26.02.2018;2.137,75;9,30K;-0,11%
23.02.2018;2.140,00;15,50K;-2,08%
22.02.2018;2.185,50;9,36K;-0,75%
21.02.2018;2.202,00;15,65K;0,73%
20.02.2018;2.186,00;16,97K;-1,29%
19.02.2018;2.214,50;24,24K;0,34%
16.02.2018;2.207,00;34,06K;2,09%
15.02.2018;2.161,75;20,37K;-0,60%
14.02.2018;2.174,75;33,81K;1,81%
13.02.2018;2.136,00;30,58K;0,56%
12.02.2018;2.124,00;33,26K;0,09%
09.02.2018;2.122,00;33,79K;-2,17%
08.02.2018;2.169,00;32,19K;0,60%
07.02.2018;2.156,00;27,17K;-0,51%
06.02.2018;2.167,00;26,60K;-1,90%
05.02.2018;2.209,00;22,19K;0,02%
02.02.2018;2.208,50;19,79K;-0,69%
01.02.2018;2.223,75;13,48K;0,24%
31.01.2018;2.218,50;35,62K;0,57%
30.01.2018;2.206,00;16,92K;-0,80%
29.01.2018;2.223,75;12,63K;-1,47%
26.01.2018;2.257,00;12,58K;0,71%
25.01.2018;2.241,00;10,38K;-0,41%
24.01.2018;2.250,25;14,01K;0,92%
23.01.2018;2.229,75;11,22K;-0,86%
22.01.2018;2.249,00;8,75K;1,28%
19.01.2018;2.220,50;17,46K;-0,91%
18.01.2018;2.241,00;75,76K;2,26%
17.01.2018;2.191,50;11,61K;0,14%
16.01.2018;2.188,50;13,54K;-1,59%
15.01.2018;2.223,75;30,33K;0,59%
12.01.2018;2.210,75;59,95K;1,77%
11.01.2018;2.172,25;53,77K;-0,31%
10.01.2018;2.179,00;68,32K;1,37%
09.01.2018;2.149,50;47,91K;-1,08%
08.01.2018;2.173,00;50,21K;-1,31%
05.01.2018;2.201,75;31,43K;-2,14%
04.01.2018;2.250,00;35,90K;0,96%
03.01.2018;2.228,50;41,07K;-1,70%
02.01.2018;2.267,00;50,52K;-0,20%
